batch_size,reference_size,detector,auc_roc,avg_precision,best_f1,best_threshold,failure_rate,n
8,1000,ref_knn5_dist,0.898090809039628,0.920686181289576,0.8383600372005322,0.2453755885362625,0.5570891514500537,18620
16,100,ref_mmd_rbf,0.9499346223741484,0.951100041323911,0.8841013716898684,0.0988048315048217,0.5158364661654136,21280
16,100,ref_centroid_cosine,0.9333213116913004,0.9362787069224724,0.8646537342500741,0.1460338830947876,0.5158364661654136,21280
16,100,ref_knn1_dist,0.9047161345564814,0.9173327959649672,0.8319342576960862,0.2913714647293091,0.5158364661654136,21280
16,100,ref_knn5_dist,0.8762201920242453,0.8997838500177664,0.8074483870321256,0.3555020689964294,0.5158364661654136,21280
16,250,ref_mmd_rbf,0.9496109528941908,0.9518307521383218,0.8838524404105664,0.0924186110496521,0.5155075187969925,21280
16,250,ref_centroid_cosine,0.9343083331933404,0.937247067200866,0.8657498357811756,0.1392508745193481,0.5155075187969925,21280
16,250,ref_knn1_dist,0.9184593198804252,0.9265643747187328,0.8432470562490648,0.2590346336364746,0.5155075187969925,21280
16,250,ref_knn5_dist,0.8984973788844809,0.9142894856714032,0.8281702691681729,0.3073266446590423,0.5155075187969925,21280
16,440,ref_mmd_rbf,0.9593536919885376,0.9476218293422252,0.8665043165250071,0.1471744179725647,0.4120300751879699,5320
16,440,ref_centroid_cosine,0.9473994016838724,0.929137640267302,0.8498595804044035,0.1882344484329223,0.4120300751879699,5320
16,440,ref_knn1_dist,0.9565180929956876,0.9412851728227434,0.8686291734901362,0.2687214016914367,0.4120300751879699,5320
16,440,ref_knn5_dist,0.9411725327627084,0.927582071656354,0.8493089607129201,0.3235517144203186,0.4120300751879699,5320
16,500,ref_mmd_rbf,0.953320976480884,0.9578968185206106,0.8950786544293562,0.0810218453407287,0.5359291084854995,18620
16,500,ref_centroid_cosine,0.9358452078145496,0.9424600618302906,0.8750060813376204,0.1365426182746887,0.5359291084854995,18620
16,500,ref_knn1_dist,0.9240678541474532,0.9347266989691254,0.8554181671569127,0.2368971705436706,0.5359291084854995,18620
16,500,ref_knn5_dist,0.909662461055962,0.9259008624677618,0.8409450370643463,0.2796255946159363,0.5359291084854995,18620
16,1000,ref_mmd_rbf,0.953520685389812,0.9568670529886028,0.8944875733495323,0.0848665237426757,0.5309344790547799,18620
16,1000,ref_centroid_cosine,0.935343271666589,0.9404943182255096,0.869053981328672,0.1328300237655639,0.5309344790547799,18620
16,1000,ref_knn1_dist,0.9288134793897976,0.935800173866751,0.8602077131873197,0.2185992449522018,0.5309344790547799,18620
16,1000,ref_knn5_dist,0.916141789470724,0.92795454003512,0.8466841917525546,0.2585110068321228,0.5309344790547799,18620
32,100,ref_mmd_rbf,0.9609252173068742,0.9607105927094952,0.898385312484402,0.0823156237602233,0.5135338345864662,21280
32,100,ref_centroid_cosine,0.94747743184418,0.9478751370412836,0.8813783373873478,0.1333688497543335,0.5135338345864662,21280
32,100,ref_knn1_dist,0.91331983241863,0.9252874653071208,0.8400941432076379,0.3109622895717621,0.5135338345864662,21280
32,100,ref_knn5_dist,0.8846240668512292,0.907636234323098,0.8169914048009508,0.3543398976325989,0.5135338345864662,21280
