mag_a,mag_b,backbone,image_idx,csi
VN26_x10,VN26_x20,efficientnet_b3,50,0.13641999454150405
VN26_x10,VN26_x20,efficientnet_b3,51,0.27044332743125193
VN26_x10,VN26_x20,efficientnet_b3,52,0.08847867755165717
VN26_x10,VN26_x20,efficientnet_b3,53,0.10655926725799984
VN26_x10,VN26_x20,efficientnet_b3,54,0.29186990132798935
VN26_x10,VN26_x20,efficientnet_b3,55,0.1808584527241576
VN26_x10,VN26_x20,efficientnet_b3,56,0.023123868630089885
VN26_x10,VN26_x20,efficientnet_b3,57,0.13327555021056509
VN26_x10,VN26_x20,efficientnet_b3,58,0.2993336561974208
VN26_x10,VN26_x20,efficientnet_b3,59,0.1283781042635421
VN26_x10,VN26_x20,efficientnet_b3,60,0.12081296371665291
VN26_x10,VN26_x20,efficientnet_b3,61,0.10793117979373422
VN26_x10,VN26_x20,efficientnet_b3,62,0.032782705212739245
VN26_x10,VN26_x20,efficientnet_b3,63,0.0022913078189152913
VN26_x10,VN26_x20,efficientnet_b3,64,0.1610867857631836
VN26_x10,VN26_x20,efficientnet_b3,65,0.18159317259004867
VN26_x10,VN26_x20,efficientnet_b3,66,0.20437130975768183
VN26_x10,VN26_x20,efficientnet_b3,67,0.27777627336006133
VN26_x10,VN26_x20,efficientnet_b3,68,0.15971278762875074
VN26_x10,VN26_x20,efficientnet_b3,69,0.1655759220416008
VN26_x10,VN26_x20,efficientnet_b3,70,0.2124148916518757
VN26_x10,VN26_x20,efficientnet_b3,71,0.1696577147227577
VN26_x10,VN26_x20,efficientnet_b3,72,0.32070876292219824
VN26_x10,VN26_x20,efficientnet_b3,73,0.19548613315479146
VN26_x10,VN26_x20,efficientnet_b3,74,0.13523897517617353
VN26_x10,VN26_x20,efficientnet_b3,75,0.12403434719866262
VN26_x10,VN26_x20,efficientnet_b3,76,0.25649322265225116
VN26_x10,VN26_x20,efficientnet_b3,77,0.12576267165389046
VN26_x10,VN26_x20,efficientnet_b3,78,0.20307317069227826
VN26_x10,VN26_x20,efficientnet_b3,79,0.1431954970634901
VN26_x10,VN26_x20,efficientnet_b3,80,0.11337457937566205
VN26_x10,VN26_x20,efficientnet_b3,81,0.15545816212796587
VN26_x10,VN26_x20,efficientnet_b3,82,0.22938890951978555
VN26_x10,VN26_x20,efficientnet_b3,83,0.143762185567508
VN26_x10,VN26_x20,efficientnet_b3,84,0.07089277045695085
VN26_x10,VN26_x20,efficientnet_b3,85,0.13246258537053357
VN26_x10,VN26_x20,efficientnet_b3,86,0.116404177401142
VN26_x10,VN26_x20,efficientnet_b3,87,0.15764604125788573
VN26_x10,VN26_x20,efficientnet_b3,88,0.2477787495803425
VN26_x10,VN26_x20,efficientnet_b3,89,0.20265684565108963
VN26_x10,VN26_x20,efficientnet_b3,90,0.23589800095159466
VN26_x10,VN26_x20,efficientnet_b3,91,0.24130109816989487
VN26_x10,VN26_x20,efficientnet_b3,92,0.2733299031190111
VN26_x10,VN26_x20,efficientnet_b3,93,0.17869208976986659
VN26_x10,VN26_x20,efficientnet_b3,94,0.15921468885875376
VN26_x10,VN26_x20,efficientnet_b3,95,0.2034175871548919
VN26_x10,VN26_x20,efficientnet_b3,96,0.16627852269614532
VN26_x10,VN26_x20,efficientnet_b3,97,0.22338510515080137
VN26_x10,VN26_x20,efficientnet_b3,98,0.1923266809577595
VN26_x10,VN26_x20,efficientnet_b3,99,0.23508719364470496
VN26_x10,VN26_x20,efficientnet_b3,100,0.236356638929056
VN26_x10,VN26_x20,efficientnet_b3,101,0.16571575857603704
VN26_x10,VN26_x20,efficientnet_b3,102,0.23495595542891698
VN26_x10,VN26_x20,efficientnet_b3,103,0.21820153830030434
VN26_x10,VN26_x20,efficientnet_b3,104,0.1710006356964117
VN26_x10,VN26_x20,efficientnet_b3,105,0.19284943453145176
VN26_x10,VN26_x20,efficientnet_b3,106,0.14567504306682477
VN26_x10,VN26_x20,efficientnet_b3,107,0.13814112849655805
VN26_x10,VN26_x20,efficientnet_b3,108,0.29093303386058605
VN26_x10,VN26_x20,efficientnet_b3,109,0.1647006743345405
VN26_x10,VN26_x20,efficientnet_b3,110,0.15859797384613863
VN26_x10,VN26_x20,efficientnet_b3,111,0.16676890996034596
VN26_x10,VN26_x20,efficientnet_b3,112,0.19826214690364272
VN26_x10,VN26_x20,efficientnet_b3,113,0.21205653330224503
VN26_x10,VN26_x20,efficientnet_b3,114,0.14006356642564435
VN26_x10,VN26_x20,efficientnet_b3,115,0.23097084070407745
VN26_x10,VN26_x20,efficientnet_b3,116,0.19627538520223975
VN26_x10,VN26_x20,efficientnet_b3,117,0.17989127975531796
VN26_x10,VN26_x20,efficientnet_b3,118,0.15748675598063838
VN26_x10,VN26_x20,efficientnet_b3,119,0.17682212041021275
VN26_x10,VN26_x20,efficientnet_b3,120,0.18884733787684485
VN26_x10,VN26_x20,efficientnet_b3,121,0.1654377392261324
VN26_x10,VN26_x20,efficientnet_b3,122,0.18265714041402759
VN26_x10,VN26_x20,efficientnet_b3,123,0.20205083926113518
VN26_x10,VN26_x20,efficientnet_b3,124,0.19767552609370578
VN26_x10,VN26_x20,efficientnet_b3,125,0.12752018137701512
VN26_x10,VN26_x20,efficientnet_b3,126,0.14680494497873797
VN26_x10,VN26_x20,efficientnet_b3,127,0.18065826760948897
VN26_x10,VN26_x20,efficientnet_b3,128,0.09811177446910326
VN26_x10,VN26_x20,efficientnet_b3,129,0.10274276981596375
VN26_x10,VN26_x20,efficientnet_b3,130,0.12870719493624053
VN26_x10,VN26_x20,efficientnet_b3,131,0.10263405132261022
VN26_x10,VN26_x20,efficientnet_b3,132,0.14033701847290098
VN26_x10,VN26_x20,efficientnet_b3,133,0.15162780800399403
VN26_x10,VN26_x20,efficientnet_b3,134,0.1139143038097649
VN26_x10,VN26_x20,efficientnet_b3,135,0.14583117117180133
VN26_x10,VN26_x20,efficientnet_b3,136,0.18671518342448032
VN26_x10,VN26_x20,efficientnet_b3,137,0.20097750213265422
VN26_x10,VN26_x20,efficientnet_b3,138,0.1425894644248819
VN26_x10,VN26_x20,efficientnet_b3,139,0.31386118404030877
VN26_x10,VN26_x20,efficientnet_b3,140,0.32146884464659103
VN26_x10,VN26_x20,efficientnet_b3,141,0.10402802442274628
VN26_x10,VN26_x20,efficientnet_b3,142,0.20070034684518778
VN26_x10,VN26_x20,efficientnet_b3,143,0.20783916888122178
VN26_x10,VN26_x20,efficientnet_b3,144,0.1913397462963626
VN26_x10,VN26_x20,efficientnet_b3,145,0.21160477211071604
VN26_x10,VN26_x20,efficientnet_b3,146,0.1767897456529723
VN26_x10,VN26_x20,efficientnet_b3,147,0.17100173355310108
VN26_x10,VN26_x20,efficientnet_b3,148,0.1933854527240444
VN26_x10,VN26_x20,efficientnet_b3,149,0.1264833673165721
VN26_x10,VN26_x20,efficientnet_b3,150,0.1612905454239635
VN26_x10,VN26_x20,efficientnet_b3,151,0.16782333940503044
VN26_x10,VN26_x20,efficientnet_b3,152,0.11857109033186164
VN26_x10,VN26_x20,efficientnet_b3,153,0.12528744292337504
VN26_x10,VN26_x20,efficientnet_b3,154,0.10005262823355028
VN26_x10,VN26_x20,efficientnet_b3,155,0.19302566375235206
VN26_x10,VN26_x20,efficientnet_b3,156,0.18265477853874343
VN26_x10,VN26_x20,efficientnet_b3,157,0.2037583239145212
VN26_x10,VN26_x20,efficientnet_b3,158,0.17116175062032413
VN26_x10,VN26_x20,efficientnet_b3,159,0.173625640967753
VN26_x10,VN26_x20,efficientnet_b3,160,0.17528383853301607
VN26_x10,VN26_x20,efficientnet_b3,161,0.1900700731754967
VN26_x10,VN26_x20,efficientnet_b3,162,0.18044089415542794
VN26_x10,VN26_x20,efficientnet_b3,163,0.177902746140102
VN26_x10,VN26_x20,efficientnet_b3,164,0.10651302529341543
VN26_x10,VN26_x20,efficientnet_b3,165,0.16848409540372547
VN26_x10,VN26_x20,efficientnet_b3,166,0.15977225832983663
VN26_x10,VN26_x20,efficientnet_b3,167,0.14275320970759567
VN26_x10,VN26_x20,efficientnet_b3,168,0.20935375021444205
VN26_x10,VN26_x20,efficientnet_b3,169,0.18309797245437076
VN26_x10,VN26_x20,efficientnet_b3,170,0.19964687283183613
VN26_x10,VN26_x20,efficientnet_b3,171,0.13239581703494627
VN26_x10,VN26_x20,efficientnet_b3,172,0.2081123827911324
VN26_x10,VN26_x20,efficientnet_b3,173,0.08889120171865324
VN26_x10,VN26_x20,efficientnet_b3,174,0.06323889472324533
VN26_x10,VN26_x20,efficientnet_b3,175,0.12329491854947743
VN26_x10,VN26_x20,efficientnet_b3,176,0.11264724382414937
VN26_x10,VN26_x20,efficientnet_b3,177,0.2149784055121781
VN26_x10,VN26_x20,efficientnet_b3,178,0.14715250135002553
VN26_x10,VN26_x20,efficientnet_b3,179,0.15739003385177006
VN26_x10,VN26_x20,efficientnet_b3,180,0.09670473905855285
VN26_x10,VN26_x20,efficientnet_b3,181,0.13714551944956524
VN26_x10,VN26_x20,efficientnet_b3,182,0.08181621831435358
VN26_x10,VN26_x20,efficientnet_b3,183,0.19633297563720728
VN26_x10,VN26_x20,efficientnet_b3,184,0.06723574480136511
VN26_x10,VN26_x20,efficientnet_b3,185,0.1812122255680797
VN26_x10,VN26_x20,efficientnet_b3,186,0.20621783916068256
VN26_x10,VN26_x20,efficientnet_b3,187,0.19472178507844698
VN26_x10,VN26_x20,efficientnet_b3,188,0.18996165424166753
VN26_x10,VN26_x20,efficientnet_b3,189,0.13176144071304488
VN26_x10,VN26_x20,efficientnet_b3,190,0.1080484437531175
VN26_x10,VN26_x20,efficientnet_b3,191,0.1463133593713359
VN26_x10,VN26_x20,efficientnet_b3,192,0.11186672123701934
VN26_x10,VN26_x20,efficientnet_b3,193,0.08655441538816198
VN26_x10,VN26_x20,efficientnet_b3,194,0.09759367085382946
VN26_x10,VN26_x20,efficientnet_b3,195,0.022685296964661247
VN26_x10,VN26_x20,efficientnet_b3,196,0.16886622329611548
VN26_x10,VN26_x20,efficientnet_b3,197,0.1758323615475378
VN26_x10,VN26_x20,efficientnet_b3,198,0.09329140066387281
VN26_x10,VN26_x20,efficientnet_b3,199,0.14917591493509016
VN26_x10,VN26_x20,convnext_tiny,0,0.009885380720991382
VN26_x10,VN26_x20,convnext_tiny,1,0.12739268309534424
VN26_x10,VN26_x20,convnext_tiny,2,0.20604358392716235
VN26_x10,VN26_x20,convnext_tiny,3,0.041912777636982625
VN26_x10,VN26_x20,convnext_tiny,4,0.21119876102444166
VN26_x10,VN26_x20,convnext_tiny,5,0.09761588466767351
VN26_x10,VN26_x20,convnext_tiny,6,0.2795220973720123
VN26_x10,VN26_x20,convnext_tiny,7,0.33281383047466573
VN26_x10,VN26_x20,convnext_tiny,8,0.16774438633415276
VN26_x10,VN26_x20,convnext_tiny,9,0.12141118770333548
VN26_x10,VN26_x20,convnext_tiny,10,0.1548012380716769
VN26_x10,VN26_x20,convnext_tiny,11,0.22983099897557388
VN26_x10,VN26_x20,convnext_tiny,12,0.4262896388353061
VN26_x10,VN26_x20,convnext_tiny,13,0.06729644982993198
VN26_x10,VN26_x20,convnext_tiny,14,0.015893333915869
VN26_x10,VN26_x20,convnext_tiny,15,0.016624983556876288
VN26_x10,VN26_x20,convnext_tiny,16,0.1625094476825627
VN26_x10,VN26_x20,convnext_tiny,17,0.1929627747886248
VN26_x10,VN26_x20,convnext_tiny,18,0.05524891534170426
VN26_x10,VN26_x20,convnext_tiny,19,0.24291437002286212
VN26_x10,VN26_x20,convnext_tiny,20,0.180168199071958
VN26_x10,VN26_x20,convnext_tiny,21,0.08838722643262642
VN26_x10,VN26_x20,convnext_tiny,22,0.41196770404180905
VN26_x10,VN26_x20,convnext_tiny,23,0.06929607780612244
VN26_x10,VN26_x20,convnext_tiny,24,0.14088577419720388
VN26_x10,VN26_x20,convnext_tiny,25,0.1991802955933689
VN26_x10,VN26_x20,convnext_tiny,26,0.5150470344387755
VN26_x10,VN26_x20,convnext_tiny,27,0.13046882801292684
VN26_x10,VN26_x20,convnext_tiny,28,0.362800190972085
VN26_x10,VN26_x20,convnext_tiny,29,0.09920945144811803
VN26_x10,VN26_x20,convnext_tiny,30,0.0629887547951183
VN26_x10,VN26_x20,convnext_tiny,31,0.06746448136887793
VN26_x10,VN26_x20,convnext_tiny,32,0.45355665117199856
VN26_x10,VN26_x20,convnext_tiny,33,0.4683713329081633
