dataset,backbone,perturbation,severity,tag,n_flip,first_order_frac,switch_frac,switch_winner_in_top3,switch_winner_in_top5,median_clean_rank_switch
WRD25,swin_tiny,motion_blur,15,motion_blur_15,651,0.23348694316436253,0.7665130568356375,0.12024048096192384,0.3627254509018036,8.0
WRD25,swin_tiny,zoom_blur,1.05,zoom_blur_1_05,485,0.23711340206185566,0.7628865979381443,0.07567567567567568,0.3324324324324324,8.0
WRD25,swin_tiny,zoom_blur,1.1,zoom_blur_1_1,964,0.11514522821576763,0.8848547717842323,0.05627198124267292,0.2391559202813599,9.0
WRD25,swin_tiny,zoom_blur,1.2,zoom_blur_1_2,1198,0.15108514190317196,0.8489148580968281,0.048180924287118974,0.17895771878072764,10.0
WRD25,swin_tiny,contrast,0.5,contrast_0_5,66,0.7878787878787878,0.21212121212121213,0.42857142857142855,0.8571428571428571,4.0
WRD25,swin_tiny,contrast,0.75,contrast_0_75,34,0.9705882352941176,0.029411764705882353,1.0,1.0,3.0
WRD25,swin_tiny,contrast,1.25,contrast_1_25,28,0.8928571428571429,0.10714285714285714,1.0,1.0,3.0
WRD25,swin_tiny,contrast,1.5,contrast_1_5,49,0.8367346938775511,0.16326530612244897,0.875,1.0,3.0
WRD25,swin_tiny,pixelate,0.5,pixelate_0_5,1150,0.10260869565217391,0.8973913043478261,0.08042635658914729,0.19864341085271317,13.0
WRD25,swin_tiny,pixelate,0.33,pixelate_0_33,1295,0.07413127413127413,0.9258687258687258,0.060050041701417846,0.15346121768140117,14.0
WRD25,swin_tiny,pixelate,0.25,pixelate_0_25,1532,0.009138381201044387,0.9908616187989556,0.00461133069828722,0.023715415019762844,24.0
WRD25,swin_tiny,scratch,mild,scratch_mild,69,0.855072463768116,0.14492753623188406,0.8,1.0,3.0
WRD25,swin_tiny,scratch,moderate,scratch_moderate,167,0.6227544910179641,0.3772455089820359,0.5873015873015873,0.873015873015873,3.0
WRD25,swin_tiny,scratch,severe,scratch_severe,303,0.5082508250825083,0.49174917491749176,0.44966442953020136,0.7583892617449665,4.0
WRD25,swin_tiny,rotation,45,rotation_45,654,0.345565749235474,0.654434250764526,0.1542056074766355,0.39953271028037385,7.0
WRD25,swin_tiny,rotation,90,rotation_90,128,0.6640625,0.3359375,0.4418604651162791,0.8604651162790697,4.0
WRD25,swin_tiny,rotation,135,rotation_135,661,0.2481089258698941,0.7518910741301059,0.16297786720321933,0.4346076458752515,7.0
WRD25,swin_tiny,rotation,180,rotation_180,72,0.75,0.25,0.3333333333333333,0.9444444444444444,4.0
WRD25,swin_tiny,compound,mild,compound_mild,1051,0.0922930542340628,0.9077069457659372,0.05870020964360587,0.19392033542976939,13.0
WRD25,swin_tiny,compound,moderate,compound_moderate,1432,0.05446927374301676,0.9455307262569832,0.01772525849335303,0.059084194977843424,22.0
WRD25,swin_tiny,compound,severe,compound_severe,1557,0.01348747591522158,0.9865125240847784,0.021484375,0.06380208333333333,24.0
WRD25,swin_tiny,compound_optical,mild,compound_optical_mild,328,0.3201219512195122,0.6798780487804879,0.21973094170403587,0.48878923766816146,6.0
WRD25,swin_tiny,compound_optical,moderate,compound_optical_moderate,982,0.19144602851323828,0.8085539714867617,0.0982367758186398,0.30982367758186397,9.0
WRD25,swin_tiny,compound_optical,severe,compound_optical_severe,1207,0.14581607290803644,0.8541839270919636,0.04655674102812803,0.11930164888457807,16.0
WRD25,swin_tiny,compound_digital,mild,compound_digital_mild,471,0.2632696390658174,0.7367303609341825,0.207492795389049,0.49279538904899134,6.0
WRD25,swin_tiny,compound_digital,moderate,compound_digital_moderate,1051,0.18268315889628925,0.8173168411037107,0.10128055878928988,0.24330616996507567,14.0
WRD25,swin_tiny,compound_digital,severe,compound_digital_severe,1418,0.06770098730606489,0.9322990126939351,0.059001512859304085,0.12708018154311648,16.0
WRD25,swin_tiny,compound_field,mild,compound_field_mild,524,0.2480916030534351,0.7519083969465649,0.10406091370558376,0.38578680203045684,7.0
WRD25,swin_tiny,compound_field,moderate,compound_field_moderate,1051,0.1522359657469077,0.8477640342530923,0.0931537598204265,0.30976430976430974,8.0
WRD25,swin_tiny,compound_field,severe,compound_field_severe,1312,0.0701219512195122,0.9298780487804879,0.13852459016393442,0.30327868852459017,9.0
WRD25,efficientnet_b3,gaussian_blur,2,blur_2,261,0.5478927203065134,0.4521072796934866,0.3813559322033898,0.6864406779661016,4.0
WRD25,efficientnet_b3,gaussian_blur,4,blur_4,926,0.30885529157667385,0.6911447084233261,0.23125,0.475,6.0
WRD25,efficientnet_b3,gaussian_blur,6,blur_6,1033,0.1819941916747338,0.8180058083252663,0.12662721893491125,0.30532544378698223,9.0
WRD25,efficientnet_b3,gaussian_blur,8,blur_8,1103,0.20217588395285585,0.7978241160471442,0.10227272727272728,0.24545454545454545,11.0
WRD25,efficientnet_b3,gaussian_blur,10,blur_10,1128,0.17641843971631205,0.8235815602836879,0.09903121636167922,0.24004305705059203,11.0
WRD25,efficientnet_b3,gaussian_blur,12,blur_12,1177,0.12914188615123195,0.8708581138487681,0.06829268292682927,0.1951219512195122,12.0
WRD25,efficientnet_b3,defocus_blur,3,defocus_3,223,0.5381165919282511,0.4618834080717489,0.42718446601941745,0.6116504854368932,4.0
WRD25,efficientnet_b3,defocus_blur,5,defocus_5,534,0.45692883895131087,0.5430711610486891,0.2896551724137931,0.5793103448275863,5.0
WRD25,efficientnet_b3,defocus_blur,8,defocus_8,861,0.29152148664343785,0.7084785133565621,0.16885245901639345,0.3639344262295082,8.0
WRD25,efficientnet_b3,defocus_blur,11,defocus_11,938,0.2025586353944563,0.7974413646055437,0.1323529411764706,0.27807486631016043,10.0
WRD25,efficientnet_b3,defocus_blur,15,defocus_15,1038,0.14354527938342967,0.8564547206165704,0.09111361079865017,0.2047244094488189,14.0
WRD25,efficientnet_b3,resize,1.33,resize_1_33,142,0.647887323943662,0.352112676056338,0.5,0.68,3.5
WRD25,efficientnet_b3,resize,1.67,resize_1_67,205,0.6439024390243903,0.35609756097560974,0.3424657534246575,0.5616438356164384,5.0
WRD25,efficientnet_b3,resize,2.0,resize_2_0,312,0.5576923076923077,0.4423076923076923,0.34057971014492755,0.6159420289855072,4.0
WRD25,efficientnet_b3,illumination,0.7,brightness_0_7,47,0.9148936170212766,0.0851063829787234,0.75,1.0,3.0
WRD25,efficientnet_b3,illumination,0.85,brightness_0_85,19,0.9473684210526315,0.05263157894736842,0.0,1.0,4.0
WRD25,efficientnet_b3,illumination,1.15,brightness_1_15,23,0.8260869565217391,0.17391304347826086,0.75,1.0,3.0
WRD25,efficientnet_b3,illumination,1.3,brightness_1_3,48,0.7708333333333334,0.22916666666666666,0.6363636363636364,0.8181818181818182,3.0
WRD25,efficientnet_b3,jpeg,10,jpeg_10,560,0.4857142857142857,0.5142857142857142,0.3402777777777778,0.5729166666666666,5.0
WRD25,efficientnet_b3,jpeg,20,jpeg_20,307,0.6156351791530945,0.38436482084690554,0.4067796610169492,0.6864406779661016,4.0
WRD25,efficientnet_b3,jpeg,30,jpeg_30,217,0.7142857142857143,0.2857142857142857,0.3870967741935484,0.6612903225806451,4.0
WRD25,efficientnet_b3,jpeg,50,jpeg_50,139,0.7482014388489209,0.2517985611510791,0.4,0.6285714285714286,4.0
WRD25,efficientnet_b3,jpeg,70,jpeg_70,77,0.7662337662337663,0.23376623376623376,0.5,0.8333333333333334,3.5
WRD25,efficientnet_b3,red_channel_shift,-45,color_shift_-45,125,0.648,0.352,0.6590909090909091,0.9772727272727273,3.0
WRD25,efficientnet_b3,red_channel_shift,-30,color_shift_-30,83,0.7710843373493976,0.2289156626506024,0.7368421052631579,1.0,3.0
WRD25,efficientnet_b3,red_channel_shift,30,color_shift_30,79,0.8481012658227848,0.1518987341772152,1.0,1.0,3.0
WRD25,efficientnet_b3,red_channel_shift,45,color_shift_45,118,0.7711864406779662,0.2288135593220339,0.7037037037037037,1.0,3.0
WRD25,efficientnet_b3,green_channel_shift,-45,green_channel_shift_-45,146,0.6917808219178082,0.3082191780821918,0.5555555555555556,0.9333333333333333,3.0
WRD25,efficientnet_b3,green_channel_shift,-30,green_channel_shift_-30,105,0.7904761904761904,0.20952380952380953,0.7272727272727273,1.0,3.0
WRD25,efficientnet_b3,green_channel_shift,30,green_channel_shift_30,108,0.6759259259259259,0.32407407407407407,0.6,0.8857142857142857,3.0
WRD25,efficientnet_b3,green_channel_shift,45,green_channel_shift_45,149,0.610738255033557,0.38926174496644295,0.5,0.8103448275862069,3.5
WRD25,efficientnet_b3,blue_channel_shift,-45,blue_channel_shift_-45,91,0.7692307692307693,0.23076923076923078,0.6666666666666666,0.8095238095238095,3.0
WRD25,efficientnet_b3,blue_channel_shift,-30,blue_channel_shift_-30,58,0.8620689655172413,0.13793103448275862,1.0,1.0,3.0
WRD25,efficientnet_b3,blue_channel_shift,30,blue_channel_shift_30,70,0.8428571428571429,0.15714285714285714,1.0,1.0,3.0
WRD25,efficientnet_b3,blue_channel_shift,45,blue_channel_shift_45,111,0.7567567567567568,0.24324324324324326,0.7037037037037037,1.0,3.0
WRD25,efficientnet_b3,gaussian_noise,0.02,gaussian_noise_0_02,72,0.75,0.25,0.4444444444444444,0.8333333333333334,4.0
WRD25,efficientnet_b3,gaussian_noise,0.05,gaussian_noise_0_05,188,0.4946808510638298,0.5053191489361702,0.45263157894736844,0.7157894736842105,4.0
