detector,heldout_dataset,train_n,test_n,test_failure_rate,threshold_from_train,train_best_f1,test_auc_roc,test_avg_precision,test_precision,test_recall,test_f1,test_fpr,tp,fp,fn,tn
ref_mahalanobis_delta,FSDM41,3724,532,0.6015037593984962,1256.036619394515,0.8435443032992531,0.9477741745283018,0.9567820393081454,0.9225589225589226,0.85625,0.8881685575364668,0.1084905660377358,274,23,46,189
ref_mahalanobis_delta,GOIMAI,3724,532,0.5225563909774437,1212.2820106493882,0.8473551632288981,0.9513822013255536,0.951656702837714,0.7771428571428571,0.9784172661870504,0.8662420382165604,0.3070866141732283,272,78,6,176
ref_mahalanobis_delta,PCA11,3724,532,0.4812030075187969,1222.6001879464206,0.8462867007103361,0.9531957653985508,0.9455127959560036,0.8478260869565217,0.9140625,0.8796992481203008,0.1521739130434782,234,42,22,234
ref_mahalanobis_delta,WRD25,3724,532,0.462406015037594,980.4897402491232,0.8492498208892648,0.9568196031610664,0.942527667578352,0.7289156626506024,0.983739837398374,0.8373702422145329,0.3146853146853147,242,90,4,196
ref_mahalanobis,BD11,3724,532,0.4078947368421052,1783.722006169217,0.8639340281211491,0.8906590593226538,0.8651354266254513,0.6269592476489029,0.9216589861751152,0.746268656716418,0.3777777777777777,200,119,17,196
ref_mahalanobis,BFS46,3724,532,0.5375939849624061,1783.722006169217,0.8467661686559812,0.9441838649155722,0.9453722357150124,0.7903682719546742,0.9755244755244756,0.8732394366197184,0.3008130081300813,279,74,7,172
ref_mahalanobis,DTSR14,3724,532,0.4962406015037593,1796.0915766810238,0.8542372876383021,0.8999604251469924,0.895205826597311,0.8346456692913385,0.803030303030303,0.8185328185328183,0.1567164179104477,212,42,52,226
ref_mahalanobis,FSDM41,3724,532,0.6015037593984962,1891.9576251703827,0.8432760359022755,0.9427918632075472,0.954159893097424,0.9133333333333332,0.85625,0.8838709677419355,0.1226415094339622,274,26,46,186
ref_mahalanobis,GOIMAI,3724,532,0.5225563909774437,1793.501038873343,0.8484095422451159,0.9476434600351216,0.9486514205620638,0.7780979827089337,0.9712230215827338,0.864,0.3031496062992126,270,77,8,177
ref_mahalanobis,PCA11,3724,532,0.4812030075187969,1793.501038873343,0.8478632473651565,0.9452700407608696,0.9385591919617164,0.8087248322147651,0.94140625,0.8700361010830324,0.2065217391304347,241,57,15,219
ref_mahalanobis,WRD25,3724,532,0.462406015037594,1783.722006169217,0.8502321030930903,0.9553271931320712,0.941511108908601,0.753125,0.9796747967479674,0.8515901060070671,0.2762237762237762,241,79,5,207
paired_feature_drift_oracle,BD11,3724,532,0.4078947368421052,0.258987158536911,0.92397660768714,0.9779825908858166,0.9707596869760504,0.8156862745098039,0.9585253456221198,0.8813559322033897,0.1492063492063492,208,47,9,268
paired_feature_drift_oracle,BFS46,3724,532,0.5375939849624061,0.258987158536911,0.9159025407628136,0.9843794416965148,0.9856429226171248,0.9172185430463576,0.9685314685314684,0.9421768707482994,0.1016260162601626,277,25,9,221
paired_feature_drift_oracle,DTSR14,3724,532,0.4962406015037593,0.258987158536911,0.9209229966480748,0.9754353233830846,0.9764017709469066,0.8767605633802817,0.9431818181818182,0.9087591240875914,0.1305970149253731,249,35,15,233
paired_feature_drift_oracle,FSDM41,3724,532,0.6015037593984962,0.2628949582576751,0.9189618639069144,0.9846403301886792,0.9883185826028472,0.972318339100346,0.878125,0.922824302134647,0.0377358490566037,281,8,39,204
paired_feature_drift_oracle,GOIMAI,3724,532,0.5225563909774437,0.2628949582576751,0.9167539262015872,0.9849883872429616,0.986113708912122,0.9233449477351916,0.9532374100719424,0.9380530973451326,0.0866141732283464,265,22,13,232
paired_feature_drift_oracle,PCA11,3724,532,0.4812030075187969,0.258987158536911,0.919238682627642,0.9778504302536232,0.9761212098988472,0.9118773946360154,0.9296875,0.920696324951644,0.0833333333333333,238,23,18,253
paired_feature_drift_oracle,WRD25,3724,532,0.462406015037594,0.2628949582576751,0.9199072876792574,0.9822758542270738,0.9787791124394676,0.8984375,0.934959349593496,0.9163346613545816,0.0909090909090909,230,26,16,260
