dataset,backbone,perturbation,severity,tag,n_pairs,n_flip,flip_rate,auc_total_drift,auc_pred_margin,firstorder_recall
WRD25,swin_tiny,scratch,severe,scratch_severe,1616,303,0.1875,0.6952360125578437,0.9349008015805389,0.6237623762376238
WRD25,swin_tiny,rotation,45,rotation_45,1616,654,0.40470297029702973,0.6045652215376986,0.8122111172569888,0.5244648318042814
WRD25,swin_tiny,rotation,90,rotation_90,1616,128,0.07920792079207921,0.6670394405241935,0.9520486811155914,0.7265625
WRD25,swin_tiny,rotation,135,rotation_135,1616,661,0.4090346534653465,0.5775336432978749,0.8110098137836533,0.4795763993948563
WRD25,swin_tiny,rotation,180,rotation_180,1616,72,0.04455445544554455,0.6223418609671848,0.977376583189407,0.8194444444444444
WRD25,swin_tiny,compound,mild,compound_mild,1616,1051,0.6503712871287128,0.7370452076825275,0.7692934668204744,0.41294005708848713
WRD25,swin_tiny,compound,moderate,compound_moderate,1616,1432,0.8861386138613861,0.8500937424095215,0.7989206339567645,0.4553072625698324
WRD25,swin_tiny,compound,severe,compound_severe,1616,1557,0.963490099009901,0.9746796860542329,0.9667004125708936,0.48041104688503533
WRD25,swin_tiny,compound_optical,mild,compound_optical_mild,1616,328,0.20297029702970298,0.6381088092713225,0.8284634903802454,0.5152439024390244
WRD25,swin_tiny,compound_optical,moderate,compound_optical_moderate,1616,982,0.6076732673267327,0.5749885959896432,0.8045705988551016,0.43279022403258655
WRD25,swin_tiny,compound_optical,severe,compound_optical_severe,1616,1207,0.7469059405940595,0.7253693308998244,0.8656127763271706,0.5932062966031483
WRD25,swin_tiny,compound_digital,mild,compound_digital_mild,1616,471,0.29146039603960394,0.6453759074347065,0.8046653501330441,0.4118895966029724
WRD25,swin_tiny,compound_digital,moderate,compound_digital_moderate,1616,1051,0.6503712871287128,0.7738942263162769,0.8476933051539621,0.4681255946717412
WRD25,swin_tiny,compound_digital,severe,compound_digital_severe,1616,1418,0.8774752475247525,0.6242449174395578,0.878025672807055,0.4076163610719323
WRD25,swin_tiny,compound_field,mild,compound_field_mild,1616,524,0.32425742574257427,0.7617361169364987,0.8442978776948242,0.41412213740458015
WRD25,swin_tiny,compound_field,moderate,compound_field_moderate,1616,1051,0.6503712871287128,0.8261007216052136,0.7778079031348146,0.4738344433872502
WRD25,swin_tiny,compound_field,severe,compound_field_severe,1616,1312,0.8118811881188119,0.761298790516688,0.8724501564505778,0.4535060975609756
WRD25,efficientnet_b3,gaussian_blur,2,blur_2,1622,261,0.16091245376078914,0.6509229465600288,0.8831769518130967,0.6743295019157088
WRD25,efficientnet_b3,gaussian_blur,4,blur_4,1622,926,0.5709001233045623,0.6979228730667064,0.7858636826295275,0.5205183585313174
WRD25,efficientnet_b3,gaussian_blur,6,blur_6,1622,1033,0.6368680641183724,0.740684738107643,0.7636895849529204,0.4898354307841239
WRD25,efficientnet_b3,gaussian_blur,8,blur_8,1622,1103,0.6800246609124537,0.7135811074019532,0.8146428465369452,0.514052583862194
WRD25,efficientnet_b3,gaussian_blur,10,blur_10,1622,1128,0.6954377311960542,0.7481533723834954,0.8249221150256985,0.4920212765957447
WRD25,efficientnet_b3,gaussian_blur,12,blur_12,1622,1177,0.7256473489519112,0.7983284488272411,0.8083243439328706,0.4715378079864061
WRD25,efficientnet_b3,defocus_blur,3,defocus_3,1622,223,0.1374845869297164,0.6658006840247839,0.8679485987749096,0.6457399103139013
WRD25,efficientnet_b3,defocus_blur,5,defocus_5,1622,534,0.32922318125770655,0.692221235404274,0.8511425286406699,0.6273408239700374
WRD25,efficientnet_b3,defocus_blur,8,defocus_8,1622,861,0.530826140567201,0.7026934423652478,0.7700470528264509,0.4645760743321719
WRD25,efficientnet_b3,defocus_blur,11,defocus_11,1622,938,0.5782983970406905,0.6624038329654984,0.7527618798239379,0.4722814498933902
WRD25,efficientnet_b3,defocus_blur,15,defocus_15,1622,1038,0.6399506781750924,0.7090608256130071,0.8143937894264524,0.47109826589595377
WRD25,efficientnet_b3,resize,1.33,resize_1_33,1622,142,0.08754623921085081,0.6734345260753711,0.9649314807765512,0.7816901408450704
WRD25,efficientnet_b3,resize,1.67,resize_1_67,1622,205,0.12638717632552404,0.6331669449369158,0.9595951598189235,0.7609756097560976
WRD25,efficientnet_b3,resize,2.0,resize_2_0,1622,312,0.19235511713933415,0.6426379917792131,0.9195733020160501,0.6730769230769231
WRD25,efficientnet_b3,illumination,0.7,brightness_0_7,1622,47,0.028976572133168926,0.6946774738264101,0.9956501182033097,0.9361702127659575
WRD25,efficientnet_b3,illumination,0.85,brightness_0_85,1622,19,0.011713933415536375,0.6688446005844305,1.0,1.0
WRD25,efficientnet_b3,illumination,1.15,brightness_1_15,1622,23,0.014180024660912454,0.7339913532914594,0.9928487913641679,0.8695652173913043
WRD25,efficientnet_b3,illumination,1.3,brightness_1_3,1622,48,0.029593094944512947,0.70706930326133,0.984659572215163,0.8333333333333334
WRD25,efficientnet_b3,jpeg,10,jpeg_10,1622,560,0.34525277435265106,0.7019706752757601,0.8732277374226527,0.6267857142857143
WRD25,efficientnet_b3,jpeg,20,jpeg_20,1622,307,0.18927250308261406,0.6716996321571445,0.9167857717888062,0.7133550488599348
WRD25,efficientnet_b3,jpeg,30,jpeg_30,1622,217,0.1337854500616523,0.6910179247913149,0.9466782557357691,0.783410138248848
WRD25,efficientnet_b3,jpeg,50,jpeg_50,1622,139,0.08569667077681874,0.7007839446581643,0.9610259196553748,0.7841726618705036
WRD25,efficientnet_b3,jpeg,70,jpeg_70,1622,77,0.047472256473489516,0.6937754801832472,0.9712184255873577,0.8051948051948052
WRD25,efficientnet_b3,red_channel_shift,-45,color_shift_-45,1622,125,0.07706535141800247,0.6707414829659318,0.9321897127588511,0.712
WRD25,efficientnet_b3,red_channel_shift,-30,color_shift_-30,1622,83,0.051171393341553635,0.5823567173176136,0.9644973656810478,0.7951807228915663
WRD25,efficientnet_b3,red_channel_shift,30,color_shift_30,1622,79,0.04870530209617756,0.5413668917200587,0.9875386596880973,0.9113924050632911
WRD25,efficientnet_b3,red_channel_shift,45,color_shift_45,1622,118,0.07274969173859433,0.5792970158672918,0.9758553461954561,0.8305084745762712
WRD25,efficientnet_b3,green_channel_shift,-45,green_channel_shift_-45,1622,146,0.09001233045622688,0.6010065152021383,0.9516464342725619,0.7945205479452054
WRD25,efficientnet_b3,green_channel_shift,-30,green_channel_shift_-30,1622,105,0.06473489519112208,0.5679065825407289,0.9646859402956964,0.8380952380952381
WRD25,efficientnet_b3,green_channel_shift,30,green_channel_shift_30,1622,108,0.06658446362515413,0.5754929301824943,0.9349772493761926,0.7129629629629629
WRD25,efficientnet_b3,green_channel_shift,45,green_channel_shift_45,1622,149,0.09186189889025893,0.6521571736446188,0.9311135107551133,0.7046979865771812
WRD25,efficientnet_b3,blue_channel_shift,-45,blue_channel_shift_-45,1622,91,0.056103575832305796,0.5512916215071669,0.9728684117972164,0.8241758241758241
WRD25,efficientnet_b3,blue_channel_shift,-30,blue_channel_shift_-30,1622,58,0.035758323057953144,0.5495744774671488,0.9923824852279743,0.9137931034482759
WRD25,efficientnet_b3,blue_channel_shift,30,blue_channel_shift_30,1622,70,0.04315659679408138,0.4265878129602356,0.9692286450662739,0.8857142857142857
WRD25,efficientnet_b3,blue_channel_shift,45,blue_channel_shift_45,1622,111,0.06843403205918619,0.49615730886412557,0.9566005449526296,0.8288288288288288
WRD25,efficientnet_b3,gaussian_noise,0.02,gaussian_noise_0_02,1622,72,0.04438964241676942,0.5420519713261649,0.95831541218638,0.8055555555555556
WRD25,efficientnet_b3,gaussian_noise,0.05,gaussian_noise_0_05,1622,188,0.1159062885326757,0.5947246209086323,0.9027196652719666,0.6595744680851063
WRD25,efficientnet_b3,gaussian_noise,0.1,gaussian_noise_0_1,1622,454,0.279901356350185,0.5849158545048578,0.8465655361776598,0.5704845814977973
WRD25,efficientnet_b3,shot_noise,60,shot_noise_60,1622,324,0.1997533908754624,0.5627461051189865,0.8943935589415815,0.6203703703703703
WRD25,efficientnet_b3,shot_noise,30,shot_noise_30,1622,629,0.3877928483353884,0.6895798410815294,0.8208028536800529,0.5516693163751988
WRD25,efficientnet_b3,shot_noise,15,shot_noise_15,1622,1108,0.6831072749691739,0.741101153268061,0.8027978339350181,0.5018050541516246
WRD25,efficientnet_b3,impulse_noise,0.01,impulse_noise_0_01,1622,48,0.029593094944512947,0.5341221939855993,0.9753679584921643,0.8541666666666666
WRD25,efficientnet_b3,impulse_noise,0.03,impulse_noise_0_03,1622,120,0.07398273736128237,0.5206752108300045,0.960025521526853,0.8416666666666667
WRD25,efficientnet_b3,impulse_noise,0.05,impulse_noise_0_05,1622,196,0.12083847102342787,0.6389823110169734,0.9066462489624181,0.7397959183673469
WRD25,efficientnet_b3,motion_blur,5,motion_blur_5,1622,169,0.10419235511713934,0.586085918951608,0.9237814438195613,0.7159763313609467
WRD25,efficientnet_b3,motion_blur,9,motion_blur_9,1622,366,0.22564734895191121,0.5868639274651074,0.8517367999721556,0.5683060109289617
WRD25,efficientnet_b3,motion_blur,15,motion_blur_15,1622,702,0.43279901356350187,0.6218947417316982,0.7976650563607085,0.4757834757834758
WRD25,efficientnet_b3,zoom_blur,1.05,zoom_blur_1_05,1622,696,0.42909987669543775,0.7911879980636032,0.8558191206772423,0.5818965517241379
WRD25,efficientnet_b3,zoom_blur,1.1,zoom_blur_1_1,1622,950,0.5856966707768188,0.8086145050125313,0.8126832706766918,0.6147368421052631
WRD25,efficientnet_b3,zoom_blur,1.2,zoom_blur_1_2,1622,1161,0.7157829839704068,0.7908695660297336,0.8184413541322184,0.5736434108527132
WRD25,efficientnet_b3,contrast,0.5,contrast_0_5,1622,86,0.0530209617755857,0.6741498607073643,0.9899012839147285,0.872093023255814
