dataset,backbone,perturbation,severity,tag,rule,protocol,n_splits,test_size,split_seed,accuracy,accuracy_std,acc_clean,drop
DTSR14,convnext_tiny,zoom_blur,1.05,zoom_blur_1_05,linear_probe,split_disjoint_v1,5,0.2,42,0.8088714205502526,0.0103811991006576,0.966760247052218,0.1578888265019653
DTSR14,convnext_tiny,zoom_blur,1.1,zoom_blur_1_1,linear_probe,split_disjoint_v1,5,0.2,42,0.5508141493542953,0.0112352596862713,0.966760247052218,0.4159460976979227
DTSR14,convnext_tiny,zoom_blur,1.2,zoom_blur_1_2,linear_probe,split_disjoint_v1,5,0.2,42,0.4654688377316114,0.0076986576085357,0.966760247052218,0.5012914093206065
DTSR14,dinov2_b,blue_channel_shift,-30,blue_channel_shift_-30,linear_probe,split_disjoint_v1,5,0.2,42,0.9510387422796184,0.0030423845444456,0.9576642335766422,0.0066254912970238
DTSR14,dinov2_b,blue_channel_shift,-45,blue_channel_shift_-45,linear_probe,split_disjoint_v1,5,0.2,42,0.9441886580572711,0.0030465266628299,0.9576642335766422,0.013475575519371
DTSR14,dinov2_b,blue_channel_shift,30,blue_channel_shift_30,linear_probe,split_disjoint_v1,5,0.2,42,0.948343627175744,0.0014204503807606,0.9576642335766422,0.0093206064008981
DTSR14,dinov2_b,blue_channel_shift,45,blue_channel_shift_45,linear_probe,split_disjoint_v1,5,0.2,42,0.9319483436271758,0.0024448670473978,0.9576642335766422,0.0257158899494663
DTSR14,dinov2_b,clean,0,original,linear_probe,split_disjoint_v1,5,0.2,42,0.9576642335766422,0.0024756213009599,0.9576642335766422,0.0
DTSR14,dinov2_b,compound,mild,compound_mild,linear_probe,split_disjoint_v1,5,0.2,42,0.3557551937113981,0.0030671533483992,0.9576642335766422,0.601909039865244
DTSR14,dinov2_b,compound,moderate,compound_moderate,linear_probe,split_disjoint_v1,5,0.2,42,0.3155530600786075,0.0,0.9576642335766422,0.6421111734980347
DTSR14,dinov2_b,compound,severe,compound_severe,linear_probe,split_disjoint_v1,5,0.2,42,0.3155530600786075,0.0,0.9576642335766422,0.6421111734980347
DTSR14,dinov2_b,compound_digital,mild,compound_digital_mild,linear_probe,split_disjoint_v1,5,0.2,42,0.9429533969679956,0.0025260464636051,0.9576642335766422,0.0147108366086466
DTSR14,dinov2_b,compound_digital,moderate,compound_digital_moderate,linear_probe,split_disjoint_v1,5,0.2,42,0.7472206625491298,0.0065228683802168,0.9576642335766422,0.2104435710275124
DTSR14,dinov2_b,compound_digital,severe,compound_digital_severe,linear_probe,split_disjoint_v1,5,0.2,42,0.7747332959011791,0.0058502038304912,0.9576642335766422,0.1829309376754631
DTSR14,dinov2_b,compound_field,mild,compound_field_mild,linear_probe,split_disjoint_v1,5,0.2,42,0.7526108927568782,0.0042554284832108,0.9576642335766422,0.205053340819764
DTSR14,dinov2_b,compound_field,moderate,compound_field_moderate,linear_probe,split_disjoint_v1,5,0.2,42,0.6229084783829311,0.0058952969111315,0.9576642335766422,0.3347557551937111
DTSR14,dinov2_b,compound_field,severe,compound_field_severe,linear_probe,split_disjoint_v1,5,0.2,42,0.4702975856260528,0.0041957420982076,0.9576642335766422,0.4873666479505894
DTSR14,dinov2_b,compound_optical,mild,compound_optical_mild,linear_probe,split_disjoint_v1,5,0.2,42,0.9166760247052216,0.0026716175751533,0.9576642335766422,0.0409882088714205
DTSR14,dinov2_b,compound_optical,moderate,compound_optical_moderate,linear_probe,split_disjoint_v1,5,0.2,42,0.5910162829870859,0.0074624358117175,0.9576642335766422,0.3666479505895563
DTSR14,dinov2_b,compound_optical,severe,compound_optical_severe,linear_probe,split_disjoint_v1,5,0.2,42,0.3517125210555868,0.003867304965238,0.9576642335766422,0.6059517125210554
DTSR14,dinov2_b,contrast,0.5,contrast_0_5,linear_probe,split_disjoint_v1,5,0.2,42,0.9445255474452556,0.0024959136182922,0.9576642335766422,0.0131386861313866
DTSR14,dinov2_b,contrast,0.75,contrast_0_75,linear_probe,split_disjoint_v1,5,0.2,42,0.9548568220101066,0.002919708029197,0.9576642335766422,0.0028074115665356
DTSR14,dinov2_b,contrast,1.25,contrast_1_25,linear_probe,split_disjoint_v1,5,0.2,42,0.9559797866367208,0.0041199183218066,0.9576642335766422,0.0016844469399213
DTSR14,dinov2_b,contrast,1.5,contrast_1_5,linear_probe,split_disjoint_v1,5,0.2,42,0.9520494104435708,0.0019962255850231,0.9576642335766422,0.0056148231330712
DTSR14,dinov2_b,defocus_blur,11,defocus_11,linear_probe,split_disjoint_v1,5,0.2,42,0.4813026389668725,0.0111077040034841,0.9576642335766422,0.4763615946097697
DTSR14,dinov2_b,defocus_blur,15,defocus_15,linear_probe,split_disjoint_v1,5,0.2,42,0.3960696238068501,0.007945321932087,0.9576642335766422,0.5615946097697921
DTSR14,dinov2_b,defocus_blur,3,defocus_3,linear_probe,split_disjoint_v1,5,0.2,42,0.9210555867490176,0.0071252968351332,0.9576642335766422,0.0366086468276246
DTSR14,dinov2_b,defocus_blur,5,defocus_5,linear_probe,split_disjoint_v1,5,0.2,42,0.7669848399775407,0.0043636966261034,0.9576642335766422,0.1906793935991014
DTSR14,dinov2_b,defocus_blur,8,defocus_8,linear_probe,split_disjoint_v1,5,0.2,42,0.6096574957888826,0.0046082615449035,0.9576642335766422,0.3480067377877596
DTSR14,dinov2_b,gaussian_blur,10,blur_10,linear_probe,split_disjoint_v1,5,0.2,42,0.3501403705783267,0.0029837911859823,0.9576642335766422,0.6075238629983155
DTSR14,dinov2_b,gaussian_blur,12,blur_12,linear_probe,split_disjoint_v1,5,0.2,42,0.327007299270073,0.0018314998798764,0.9576642335766422,0.6306569343065692
DTSR14,dinov2_b,gaussian_blur,2,blur_2,linear_probe,split_disjoint_v1,5,0.2,42,0.9006176305446377,0.002796159370688,0.9576642335766422,0.0570466030320044
DTSR14,dinov2_b,gaussian_blur,4,blur_4,linear_probe,split_disjoint_v1,5,0.2,42,0.7226277372262774,0.0045058736996606,0.9576642335766422,0.2350364963503648
DTSR14,dinov2_b,gaussian_blur,6,blur_6,linear_probe,split_disjoint_v1,5,0.2,42,0.541493542953397,0.0082795322138873,0.9576642335766422,0.4161706906232452
DTSR14,dinov2_b,gaussian_blur,8,blur_8,linear_probe,split_disjoint_v1,5,0.2,42,0.4125772038180798,0.0086868409234424,0.9576642335766422,0.5450870297585624
DTSR14,dinov2_b,gaussian_noise,0.02,gaussian_noise_0_02,linear_probe,split_disjoint_v1,5,0.2,42,0.8933183604716453,0.0078366519134723,0.9576642335766422,0.0643458731049969
DTSR14,dinov2_b,gaussian_noise,0.05,gaussian_noise_0_05,linear_probe,split_disjoint_v1,5,0.2,42,0.7549691184727682,0.0062078719645525,0.9576642335766422,0.202695115103874
DTSR14,dinov2_b,gaussian_noise,0.1,gaussian_noise_0_1,linear_probe,split_disjoint_v1,5,0.2,42,0.5670971364402021,0.0080509593841369,0.9576642335766422,0.3905670971364401
DTSR14,dinov2_b,green_channel_shift,-30,green_channel_shift_-30,linear_probe,split_disjoint_v1,5,0.2,42,0.947557551937114,0.0035261804532526,0.9576642335766422,0.0101066816395283
DTSR14,dinov2_b,green_channel_shift,-45,green_channel_shift_-45,linear_probe,split_disjoint_v1,5,0.2,42,0.928579449747333,0.0046355457474565,0.9576642335766422,0.0290847838293092
DTSR14,dinov2_b,green_channel_shift,30,green_channel_shift_30,linear_probe,split_disjoint_v1,5,0.2,42,0.9321729365524988,0.0027369023260986,0.9576642335766422,0.0254912970241434
DTSR14,dinov2_b,green_channel_shift,45,green_channel_shift_45,linear_probe,split_disjoint_v1,5,0.2,42,0.9066816395283548,0.0037312179058587,0.9576642335766422,0.0509825940482874
DTSR14,dinov2_b,illumination,0.7,brightness_0_7,linear_probe,split_disjoint_v1,5,0.2,42,0.9553060078607524,0.0032469022559912,0.9576642335766422,0.0023582257158897
DTSR14,dinov2_b,illumination,0.85,brightness_0_85,linear_probe,split_disjoint_v1,5,0.2,42,0.9554183043234138,0.0026716175751533,0.9576642335766422,0.0022459292532284
DTSR14,dinov2_b,illumination,1.15,brightness_1_15,linear_probe,split_disjoint_v1,5,0.2,42,0.9569904548006738,0.0028541864182232,0.9576642335766422,0.0006737787759684
