dataset,backbone,split,perturbation,severity,tag,mean_drift,baseline_clean_acc,baseline_pert_acc,baseline_drop,augmented_clean_acc,augmented_pert_acc,augmented_drop
WRD25,dinov2_b,1,defocus_blur,11,defocus_11,0.5516030192375183,0.9606481481481481,0.1412037037037037,0.8194444444444444,0.9467592592592593,0.8101851851851852,0.13657407407407407
WRD25,dinov2_b,1,defocus_blur,15,defocus_15,0.646186888217926,0.9606481481481481,0.09490740740740741,0.8657407407407407,0.9467592592592593,0.7384259259259259,0.20833333333333337
WRD25,dinov2_b,1,resize,1.33,resize_1_33,0.09218187630176544,0.9606481481481481,0.9166666666666666,0.04398148148148151,0.9467592592592593,0.9305555555555556,0.01620370370370372
WRD25,dinov2_b,1,resize,1.67,resize_1_67,0.15292900800704956,0.9606481481481481,0.8564814814814815,0.10416666666666663,0.9467592592592593,0.8842592592592593,0.0625
WRD25,dinov2_b,1,resize,2.0,resize_2_0,0.19591180980205536,0.9606481481481481,0.7870370370370371,0.17361111111111105,0.9467592592592593,0.8379629629629629,0.10879629629629639
WRD25,dinov2_b,1,illumination,0.7,brightness_0_7,0.0030443700961768627,0.9606481481481481,0.9652777777777778,-0.00462962962962965,0.9467592592592593,0.9444444444444444,0.0023148148148148806
WRD25,dinov2_b,1,illumination,0.85,brightness_0_85,0.0007161422399803996,0.9606481481481481,0.9629629629629629,-0.0023148148148147696,0.9467592592592593,0.9490740740740741,-0.0023148148148147696
WRD25,dinov2_b,1,illumination,1.15,brightness_1_15,0.0013099403586238623,0.9606481481481481,0.9629629629629629,-0.0023148148148147696,0.9467592592592593,0.9513888888888888,-0.004629629629629539
WRD25,dinov2_b,1,illumination,1.3,brightness_1_3,0.0052201817743480206,0.9606481481481481,0.9629629629629629,-0.0023148148148147696,0.9467592592592593,0.9537037037037037,-0.00694444444444442
WRD25,dinov2_b,1,jpeg,10,jpeg_10,0.2719365656375885,0.9606481481481481,0.48842592592592593,0.4722222222222222,0.9467592592592593,0.8935185185185185,0.05324074074074081
WRD25,dinov2_b,1,jpeg,20,jpeg_20,0.15722781419754028,0.9606481481481481,0.7523148148148148,0.20833333333333337,0.9467592592592593,0.9189814814814815,0.02777777777777779
WRD25,dinov2_b,1,jpeg,30,jpeg_30,0.10871119052171707,0.9606481481481481,0.8796296296296297,0.08101851851851849,0.9467592592592593,0.9305555555555556,0.01620370370370372
WRD25,dinov2_b,1,jpeg,50,jpeg_50,0.06960748881101608,0.9606481481481481,0.9259259259259259,0.03472222222222221,0.9467592592592593,0.9305555555555556,0.01620370370370372
WRD25,dinov2_b,1,jpeg,70,jpeg_70,0.04342961311340332,0.9606481481481481,0.9606481481481481,0.0,0.9467592592592593,0.9328703703703703,0.01388888888888895
WRD25,dinov2_b,1,red_channel_shift,-45,color_shift_-45,0.06835843622684479,0.9606481481481481,0.9120370370370371,0.04861111111111105,0.9467592592592593,0.9490740740740741,-0.0023148148148147696
WRD25,dinov2_b,1,red_channel_shift,-30,color_shift_-30,0.04622101038694382,0.9606481481481481,0.9490740740740741,0.01157407407407407,0.9467592592592593,0.9560185185185185,-0.00925925925925919
