detector,heldout_family,target_train_fpr,threshold,test_failure_rate,tpr,fpr,precision,n,tp,fp,fn,tn
ref_centroid_cosine,gaussian_blur,0.05,0.2114768028259277,0.9196428571428571,0.9449838187702265,0.14814814814814814,0.9864864864864865,336,292,4,17,23
ref_centroid_cosine,gaussian_blur,0.1,0.1497300863265991,0.9196428571428571,0.9838187702265372,0.37037037037037035,0.9681528662420382,336,304,10,5,17
ref_centroid_cosine,gaussian_noise,0.05,0.2167811393737793,0.35714285714285715,0.31666666666666665,0.009259259259259259,0.95,168,19,1,41,107
ref_centroid_cosine,gaussian_noise,0.1,0.1554248929023742,0.35714285714285715,0.5166666666666667,0.018518518518518517,0.9393939393939394,168,31,2,29,106
ref_centroid_cosine,green_channel_shift,0.05,0.2170748710632324,0.03571428571428571,0.5,0.018518518518518517,0.5,224,4,4,4,212
ref_centroid_cosine,green_channel_shift,0.1,0.152601420879364,0.03571428571428571,0.625,0.09259259259259259,0.2,224,5,20,3,196
ref_centroid_cosine,illumination,0.05,0.2196961641311645,0.0,,0.0,,224,0,0,0,224
ref_centroid_cosine,illumination,0.1,0.1620402336120605,0.0,,0.0,,224,0,0,0,224
ref_centroid_cosine,impulse_noise,0.05,0.2158453464508056,0.5714285714285714,0.3958333333333333,0.0,1.0,168,38,0,58,72
ref_centroid_cosine,impulse_noise,0.1,0.1545791625976562,0.5714285714285714,0.6770833333333334,0.041666666666666664,0.9558823529411765,168,65,3,31,69
ref_centroid_cosine,jpeg,0.05,0.1961207389831543,0.30357142857142855,0.6470588235294118,0.13846153846153847,0.6707317073170732,280,55,27,30,168
ref_centroid_cosine,jpeg,0.1,0.1402637958526611,0.30357142857142855,0.8117647058823529,0.26666666666666666,0.5702479338842975,280,69,52,16,143
ref_centroid_cosine,motion_blur,0.05,0.2147784233093261,0.6607142857142857,0.46846846846846846,0.0,1.0,168,52,0,59,57
ref_centroid_cosine,motion_blur,0.1,0.1528525948524475,0.6607142857142857,0.6936936936936937,0.03508771929824561,0.9746835443037974,168,77,2,34,55
ref_centroid_cosine,pixelate,0.05,0.2142987251281738,0.8869047619047619,0.697986577181208,0.0,1.0,168,104,0,45,19
ref_centroid_cosine,pixelate,0.1,0.152601420879364,0.8869047619047619,0.8590604026845637,0.05263157894736842,0.9922480620155039,168,128,1,21,18
ref_centroid_cosine,red_channel_shift,0.05,0.2196961641311645,0.022321428571428572,0.0,0.0,,224,0,0,5,219
ref_centroid_cosine,red_channel_shift,0.1,0.1605951786041259,0.022321428571428572,0.2,0.0136986301369863,0.25,224,1,3,4,216
ref_centroid_cosine,resize,0.05,0.2142987251281738,0.19642857142857142,0.12121212121212122,0.037037037037037035,0.4444444444444444,168,4,5,29,130
ref_centroid_cosine,resize,0.1,0.1522741317749023,0.19642857142857142,0.3939393939393939,0.0962962962962963,0.5,168,13,13,20,122
ref_centroid_cosine,rotation,0.05,0.2170748710632324,0.42857142857142855,0.8125,0.0,1.0,224,78,0,18,128
ref_centroid_cosine,rotation,0.1,0.1526107788085937,0.42857142857142855,0.9166666666666666,0.078125,0.8979591836734694,224,88,10,8,118
ref_centroid_cosine,scratch,0.05,0.1740007400512695,0.4107142857142857,0.9710144927536232,0.5959595959595959,0.5317460317460317,168,67,59,2,40
ref_centroid_cosine,scratch,0.1,0.1276576519012451,0.4107142857142857,1.0,0.7272727272727273,0.48936170212765956,168,69,72,0,27
ref_centroid_cosine,shot_noise,0.05,0.2142987251281738,0.8214285714285714,0.5072463768115942,0.0,1.0,168,70,0,68,30
ref_centroid_cosine,shot_noise,0.1,0.1522741317749023,0.8214285714285714,0.6811594202898551,0.1,0.9690721649484536,168,94,3,44,27
