dataset,backbone,perturbation,severity,accuracy,acc_clean,drop
BD11,efficientnet_b3,gaussian_blur,12,0.1909090909090909,0.8931818181818182,0.7022727272727273
BD11,efficientnet_b3,defocus_blur,3,0.8636363636363636,0.8931818181818182,0.0295454545454545
BD11,efficientnet_b3,defocus_blur,5,0.7545454545454545,0.8931818181818182,0.1386363636363636
BD11,efficientnet_b3,defocus_blur,8,0.5886363636363636,0.8931818181818182,0.3045454545454545
BD11,efficientnet_b3,defocus_blur,11,0.4704545454545454,0.8931818181818182,0.4227272727272727
BD11,efficientnet_b3,defocus_blur,15,0.3454545454545454,0.8931818181818182,0.5477272727272727
BD11,efficientnet_b3,resize,1.33,0.925,0.8931818181818182,-0.0318181818181818
BD11,efficientnet_b3,resize,1.67,0.8795454545454545,0.8931818181818182,0.0136363636363636
BD11,efficientnet_b3,resize,2.0,0.7931818181818182,0.8931818181818182,0.0999999999999999
BD11,efficientnet_b3,illumination,0.7,0.95,0.8931818181818182,-0.0568181818181817
BD11,efficientnet_b3,illumination,0.85,0.9590909090909092,0.8931818181818182,-0.0659090909090909
BD11,efficientnet_b3,illumination,1.15,0.9477272727272728,0.8931818181818182,-0.0545454545454545
BD11,efficientnet_b3,illumination,1.3,0.9295454545454546,0.8931818181818182,-0.0363636363636363
BD11,efficientnet_b3,jpeg,10,0.8409090909090909,0.8931818181818182,0.0522727272727272
BD11,efficientnet_b3,jpeg,20,0.9045454545454544,0.8931818181818182,-0.0113636363636363
BD11,efficientnet_b3,jpeg,30,0.9272727272727272,0.8931818181818182,-0.034090909090909
BD11,efficientnet_b3,jpeg,50,0.9318181818181818,0.8931818181818182,-0.0386363636363635
BD11,efficientnet_b3,jpeg,70,0.9431818181818182,0.8931818181818182,-0.05
BD11,efficientnet_b3,red_channel_shift,-45,0.9159090909090908,0.8931818181818182,-0.0227272727272727
BD11,efficientnet_b3,red_channel_shift,-30,0.9227272727272728,0.8931818181818182,-0.0295454545454545
BD11,efficientnet_b3,red_channel_shift,30,0.9340909090909092,0.8931818181818182,-0.0409090909090908
BD11,efficientnet_b3,red_channel_shift,45,0.9295454545454546,0.8931818181818182,-0.0363636363636363
BD11,efficientnet_b3,green_channel_shift,-45,0.9090909090909092,0.8931818181818182,-0.0159090909090908
BD11,efficientnet_b3,green_channel_shift,-30,0.9318181818181818,0.8931818181818182,-0.0386363636363635
BD11,efficientnet_b3,green_channel_shift,30,0.9386363636363636,0.8931818181818182,-0.0454545454545454
BD11,efficientnet_b3,green_channel_shift,45,0.925,0.8931818181818182,-0.0318181818181818
BD11,efficientnet_b3,blue_channel_shift,-45,0.95,0.8931818181818182,-0.0568181818181817
BD11,efficientnet_b3,blue_channel_shift,-30,0.9613636363636364,0.8931818181818182,-0.0681818181818181
BD11,efficientnet_b3,blue_channel_shift,30,0.9363636363636364,0.8931818181818182,-0.0431818181818182
BD11,efficientnet_b3,blue_channel_shift,45,0.9136363636363636,0.8931818181818182,-0.0204545454545455
BD11,efficientnet_b3,gaussian_noise,0.02,0.9431818181818182,0.8931818181818182,-0.05
BD11,efficientnet_b3,gaussian_noise,0.05,0.9181818181818182,0.8931818181818182,-0.025
BD11,efficientnet_b3,gaussian_noise,0.1,0.8681818181818182,0.8931818181818182,0.025
BD11,efficientnet_b3,shot_noise,60,0.8477272727272728,0.8931818181818182,0.0454545454545454
BD11,efficientnet_b3,shot_noise,30,0.7818181818181819,0.8931818181818182,0.1113636363636363
BD11,efficientnet_b3,shot_noise,15,0.5159090909090909,0.8931818181818182,0.3772727272727273
BD11,efficientnet_b3,impulse_noise,0.01,0.9431818181818182,0.8931818181818182,-0.05
BD11,efficientnet_b3,impulse_noise,0.03,0.9431818181818182,0.8931818181818182,-0.05
BD11,efficientnet_b3,impulse_noise,0.05,0.8977272727272727,0.8931818181818182,-0.0045454545454545
BD11,efficientnet_b3,motion_blur,5,0.9022727272727272,0.8931818181818182,-0.009090909090909
BD11,efficientnet_b3,motion_blur,9,0.7727272727272727,0.8931818181818182,0.1204545454545454
BD11,efficientnet_b3,motion_blur,15,0.525,0.8931818181818182,0.3681818181818181
