backbone,backbone_label,condition,condition_label,severity_rank,reference_dataset,target_dataset,target_tag,n_reference,n_target,ref_centroid_cosine,ref_mmd_rbf
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,rotation_45,1901,1901,0.3874927759170532,0.249656081199646
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,rotation_90,1901,1901,0.02941000461578369,0.018268287181854248
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,rotation_135,1901,1901,0.3922971487045288,0.2544105648994446
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,rotation_180,1901,1901,0.0006840229034423828,0.0014255642890930176
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_mild,1901,1901,0.4873765707015991,0.30956757068634033
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_moderate,1901,1901,0.5740227699279785,0.41370689868927
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_severe,1901,1901,0.5783988833427429,0.46273934841156006
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_optical_mild,1901,1901,0.23270511627197266,0.12830692529678345
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_optical_moderate,1901,1901,0.39895665645599365,0.21983486413955688
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_optical_severe,1901,1901,0.5667473077774048,0.3271380066871643
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_digital_mild,1901,1901,0.21506035327911377,0.15158134698867798
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_digital_moderate,1901,1901,0.30709004402160645,0.2286968231201172
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_digital_severe,1901,1901,0.4152680039405823,0.33320218324661255
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_field_mild,1901,1901,0.2652397155761719,0.1423182487487793
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_field_moderate,1901,1901,0.508149266242981,0.29459065198898315
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,compound_field_severe,1901,1901,0.5275009870529175,0.2952185273170471
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,blur_2,2942,2942,0.20295917987823486,0.15868014097213745
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,blur_4,2942,2942,0.3954586982727051,0.3195614218711853
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,blur_6,2942,2942,0.5168540477752686,0.40934664011001587
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,blur_8,2942,2942,0.5646604895591736,0.4445728063583374
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,blur_10,2942,2942,0.5791370868682861,0.4604002833366394
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,blur_12,2942,2942,0.5712969303131104,0.46802645921707153
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,defocus_3,2942,2942,0.13904333114624023,0.10396069288253784
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,defocus_5,2942,2942,0.22262847423553467,0.18714529275894165
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,defocus_8,2942,2942,0.30992621183395386,0.26184046268463135
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,defocus_11,2942,2942,0.3919558525085449,0.3131585121154785
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,defocus_15,2942,2942,0.4715750217437744,0.3537316918373108
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,resize_1_33,2942,2942,0.019451379776000977,0.015823423862457275
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,resize_1_67,2942,2942,0.044439613819122314,0.03566080331802368
