bootstrap_id,slope,intercept,r,r_squared,n
32,1.0308916606646676,-0.07506493812633333,0.9047304638483324,0.8185372122152188,1579
33,1.0563299254148804,-0.06635994753008123,0.9023648796372864,0.8142623760028144,1594
34,1.0135610843032996,-0.07194149308895645,0.9156320796475238,0.8383821052796494,1614
35,1.056282238970818,-0.07006127752963676,0.902364799320306,0.8142622310523762,1600
36,1.0510080628193554,-0.07474153840773479,0.9079226071440154,0.8243234605631862,1612
37,1.051022117646587,-0.07417822678708932,0.9098277700359284,0.8277865711285503,1620
38,1.0151232541199318,-0.07120870311425759,0.9126512939357068,0.8329323843225198,1619
39,1.0500230101464514,-0.06740228419270416,0.9046781043835259,0.8184424725509698,1607
40,1.0430590704716896,-0.06491004513940107,0.911251739385291,0.8303797325327184,1607
41,1.054072699248052,-0.07171244526716408,0.9085770749337415,0.8255123010951537,1616
42,1.0387136994077604,-0.06859940814540502,0.9186390090064914,0.8438976288684287,1593
43,1.009824826588298,-0.062221323941794526,0.8974364360091324,0.8053921566767736,1599
44,1.0470415643859756,-0.07425367423966897,0.9057094695614721,0.8203096432533232,1557
45,1.0314745453948813,-0.07119521058682282,0.915834745591822,0.8387532812332373,1597
46,1.0272666089208031,-0.07214082941804584,0.9107662134769285,0.8294950956111021,1561
47,1.061253463465698,-0.06873150246839915,0.8982935946861657,0.8069313822541933,1602
48,1.0380399007530496,-0.062349868946724174,0.9152966965953462,0.8377680427983532,1602
49,1.0136445124735782,-0.0751177935391387,0.9140660334342654,0.8355167134782516,1572
50,1.0524812301363653,-0.06643110364020782,0.8914928461774358,0.7947594947855453,1571
51,1.0409631164339876,-0.06354642803626143,0.8991346381227436,0.8084430974721172,1590
52,1.038542806080196,-0.07408090318392932,0.92461409310634,0.8549112211708596,1586
53,1.0649150119007074,-0.07519211128289477,0.9151850575925365,0.8375636896406544,1594
54,1.0413559804531836,-0.07678705215772624,0.9167448798738143,0.8404211747748541,1592
55,1.016870413191555,-0.06429257009506165,0.9120536807123122,0.8318419165008764,1581
56,1.0137221096498303,-0.06540600083538839,0.9080109024706471,0.824483799005559,1597
57,1.0279569621770983,-0.06745212316169832,0.9055941073622218,0.8201006872891793,1623
58,1.0419235046663717,-0.05755923093724874,0.8968937114130263,0.8044183295722329,1611
59,1.0503799810088186,-0.06776463288910256,0.9023355743377982,0.8142094887155241,1624
60,1.0563076154796378,-0.07580853462701648,0.9209852489279444,0.8482138287428678,1596
61,1.00704393620711,-0.06113050265905898,0.9025152474898344,0.814533771951637,1586
62,1.057235813262377,-0.06746594784816395,0.8960558282181667,0.8029160472837445,1603
63,1.026814281726979,-0.06668737803030356,0.9088646316662083,0.8260349186937526,1576
64,1.005482389243855,-0.0694790737552709,0.9135719137905219,0.8346136416668769,1614
65,1.0336825514072765,-0.0704997196953438,0.9110842484149854,0.8300745077098988,1611
66,1.0323983614202557,-0.07777853182563788,0.9138488319065865,0.8351196875770326,1595
67,1.0276900034893426,-0.06965243763332499,0.9134437025111581,0.8343793976572932,1570
68,1.0372007131747634,-0.06915542782544415,0.9024492159662353,0.8144145873980728,1567
