backbone,mag_a,mag_b,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap
resnet50,VN26_x10,VN26_x20,88,0.14313363827272735,0.14313363827272735,0.26664852290522467,0.12351488463249732
resnet50,VN26_x10,VN26_x20,89,0.31350862006144936,0.31350862006144936,0.31350862006144936,0.0
resnet50,VN26_x10,VN26_x20,90,0.19707865903361366,0.19707865903361366,0.3343121335658176,0.13723347453220397
resnet50,VN26_x10,VN26_x20,91,0.013169855252655438,0.013169855252655438,0.3479893491036936,0.33481949385103815
resnet50,VN26_x10,VN26_x20,92,0.2888047898630069,0.2888047898630069,0.2888047898630069,0.0
resnet50,VN26_x10,VN26_x20,93,0.19976286373938548,0.19976286373938548,0.24886490731467045,0.04910204357528497
resnet50,VN26_x10,VN26_x20,94,0.3354550877340056,0.3354550877340056,0.3354550877340056,0.0
resnet50,VN26_x10,VN26_x20,95,0.12025080613217835,0.12025080613217835,0.3865041490435766,0.26625334291139824
resnet50,VN26_x10,VN26_x20,96,0.28422280883167333,0.28422280883167333,0.3406138286388158,0.05639101980714245
resnet50,VN26_x10,VN26_x20,97,0.032748315052449496,0.032748315052449496,0.5766507270863488,0.5439024120338993
resnet50,VN26_x10,VN26_x20,98,0.4098945958938736,0.4098945958938736,0.4098945958938736,0.0
resnet50,VN26_x10,VN26_x20,99,0.23583061917967432,0.23583061917967432,0.23583061917967432,0.0
resnet50,VN26_x20,VN26_x50,0,0.08900206930721927,0.08900206930721927,0.24443720293520935,0.15543513362799008
resnet50,VN26_x20,VN26_x50,1,0.004613387919543002,0.004613387919543002,0.23175093754763287,0.22713754962808988
resnet50,VN26_x20,VN26_x50,2,0.2159515052445171,0.2159515052445171,0.2386913220013335,0.02273981675681641
resnet50,VN26_x20,VN26_x50,3,0.10536423214209051,0.10536423214209051,0.21990453777033184,0.11454030562824133
resnet50,VN26_x20,VN26_x50,4,0.005107548853200174,0.005107548853200174,0.22958992975313317,0.224482380899933
resnet50,VN26_x20,VN26_x50,5,0.2215126914009625,0.2215126914009625,0.2215126914009625,0.0
resnet50,VN26_x20,VN26_x50,6,0.24527115178825612,0.24527115178825612,0.24527115178825612,0.0
resnet50,VN26_x20,VN26_x50,7,0.10956345703665456,0.10956345703665456,0.2300378811787145,0.12047442414205993
resnet50,VN26_x20,VN26_x50,8,0.14223968483724958,0.14223968483724958,0.2642766698274826,0.12203698499023302
resnet50,VN26_x20,VN26_x50,9,0.18843549277763247,0.18843549277763247,0.2478384242432271,0.05940293146559464
resnet50,VN26_x20,VN26_x50,10,0.046430051090850445,0.046430051090850445,0.31094616621608817,0.2645161151252377
resnet50,VN26_x20,VN26_x50,11,0.19423330048227336,0.19423330048227336,0.34198407838968947,0.14775077790741611
resnet50,VN26_x20,VN26_x50,12,0.04369376886739082,0.04369376886739082,0.3125520945296931,0.2688583256623023
resnet50,VN26_x20,VN26_x50,13,0.40456810361848516,0.40456810361848516,0.4210436849000765,0.016475581281591323
resnet50,VN26_x20,VN26_x50,14,0.24447312048452674,0.24447312048452674,0.41766092709788954,0.1731878066133628
resnet50,VN26_x20,VN26_x50,15,0.30176333521971305,0.30176333521971305,0.34159917062141415,0.0398358354017011
resnet50,VN26_x20,VN26_x50,16,0.11422597134241604,0.11422597134241604,0.3053523955514292,0.19112642420901316
resnet50,VN26_x20,VN26_x50,17,0.24341356874041917,0.24341356874041917,0.48944778194287003,0.24603421320245086
resnet50,VN26_x20,VN26_x50,18,0.2611026808295397,0.2611026808295397,0.6253295451902251,0.3642268643606854
resnet50,VN26_x20,VN26_x50,19,0.1124157637103071,0.1124157637103071,0.32849986597764474,0.21608410226733765
resnet50,VN26_x20,VN26_x50,20,0.4631955762702023,0.4631955762702023,0.4631955762702023,0.0
resnet50,VN26_x20,VN26_x50,21,0.20859608822592315,0.20859608822592315,0.20859608822592315,0.0
resnet50,VN26_x20,VN26_x50,22,0.08938649090670525,0.08938649090670525,0.2171905751901301,0.12780408428342485
resnet50,VN26_x20,VN26_x50,23,0.4546937124094132,0.4546937124094132,0.6180245921194037,0.16333087970999055
resnet50,VN26_x20,VN26_x50,24,0.021632320531685078,0.021632320531685078,0.23576268182780072,0.21413036129611565
resnet50,VN26_x20,VN26_x50,25,0.12146391442471278,0.12146391442471278,0.24009282239875382,0.11862890797404103
