backbone,magnification,image_idx,sgi,species_label
resnet50,VN26_x20,99,9.964923469387755e-05,13
resnet50,VN26_x50,0,0.0001793686224489796,0
resnet50,VN26_x50,1,0.00011957908163265306,0
resnet50,VN26_x50,2,0.0001793686224489796,0
resnet50,VN26_x50,3,0.0002192283163265306,0
resnet50,VN26_x50,4,0.00015943877551020407,0
resnet50,VN26_x50,5,0.00013950892857142856,1
resnet50,VN26_x50,6,0.0001992984693877551,1
resnet50,VN26_x50,7,0.0001793686224489796,1
resnet50,VN26_x50,8,0.0002192283163265306,1
resnet50,VN26_x50,9,0.0001793686224489796,1
resnet50,VN26_x50,10,0.00027901785714285713,2
resnet50,VN26_x50,11,0.00025908801020408165,2
resnet50,VN26_x50,12,0.00029894770408163266,2
resnet50,VN26_x50,13,0.00023915816326530612,2
resnet50,VN26_x50,14,0.00023915816326530612,2
resnet50,VN26_x50,15,0.00025908801020408165,2
resnet50,VN26_x50,16,0.0001992984693877551,2
resnet50,VN26_x50,17,0.0001793686224489796,2
resnet50,VN26_x50,18,0.00015943877551020407,2
resnet50,VN26_x50,19,0.00031887755102040814,2
resnet50,VN26_x50,20,0.00025908801020408165,2
resnet50,VN26_x50,21,0.00013950892857142856,3
resnet50,VN26_x50,22,0.00015943877551020407,3
resnet50,VN26_x50,23,0.0001992984693877551,3
resnet50,VN26_x50,24,0.00015943877551020407,3
resnet50,VN26_x50,25,0.00013950892857142856,3
resnet50,VN26_x50,26,0.0001793686224489796,3
resnet50,VN26_x50,27,0.0001992984693877551,3
resnet50,VN26_x50,28,0.00015943877551020407,3
resnet50,VN26_x50,29,0.0001793686224489796,3
resnet50,VN26_x50,30,7.971938775510203e-05,4
resnet50,VN26_x50,31,0.00025908801020408165,4
resnet50,VN26_x50,32,0.0001793686224489796,4
resnet50,VN26_x50,33,0.0001793686224489796,4
resnet50,VN26_x50,34,0.00023915816326530612,4
resnet50,VN26_x50,35,9.964923469387755e-05,4
resnet50,VN26_x50,36,0.00013950892857142856,4
resnet50,VN26_x50,37,0.00013950892857142856,4
resnet50,VN26_x50,38,9.964923469387755e-05,5
resnet50,VN26_x50,39,0.00011957908163265306,5
resnet50,VN26_x50,40,0.0001793686224489796,5
resnet50,VN26_x50,41,0.00015943877551020407,5
resnet50,VN26_x50,42,0.00011957908163265306,5
resnet50,VN26_x50,43,0.00029894770408163266,5
resnet50,VN26_x50,44,0.00011957908163265306,6
resnet50,VN26_x50,45,0.00015943877551020407,6
resnet50,VN26_x50,46,0.00011957908163265306,6
resnet50,VN26_x50,47,0.00011957908163265306,7
resnet50,VN26_x50,48,0.0001793686224489796,7
resnet50,VN26_x50,49,0.00015943877551020407,7
resnet50,VN26_x50,50,0.00023915816326530612,7
resnet50,VN26_x50,51,0.00011957908163265306,7
resnet50,VN26_x50,52,0.0001793686224489796,7
resnet50,VN26_x50,53,0.00015943877551020407,7
resnet50,VN26_x50,54,0.00023915816326530612,8
resnet50,VN26_x50,55,0.00015943877551020407,8
resnet50,VN26_x50,56,0.00013950892857142856,8
resnet50,VN26_x50,57,0.0001793686224489796,8
resnet50,VN26_x50,58,0.00023915816326530612,8
resnet50,VN26_x50,59,0.00011957908163265306,8
resnet50,VN26_x50,60,0.00015943877551020407,8
resnet50,VN26_x50,61,0.0002192283163265306,8
resnet50,VN26_x50,62,0.0001793686224489796,8
resnet50,VN26_x50,63,0.00015943877551020407,8
resnet50,VN26_x50,64,0.00013950892857142856,9
resnet50,VN26_x50,65,0.00015943877551020407,9
resnet50,VN26_x50,66,5.978954081632653e-05,9
resnet50,VN26_x50,67,0.0001793686224489796,9
resnet50,VN26_x50,68,3.985969387755102e-05,9
resnet50,VN26_x50,69,9.964923469387755e-05,9
resnet50,VN26_x50,70,0.0001992984693877551,10
resnet50,VN26_x50,71,0.00011957908163265306,10
resnet50,VN26_x50,72,7.971938775510203e-05,10
resnet50,VN26_x50,73,0.00013950892857142856,10
resnet50,VN26_x50,74,5.978954081632653e-05,10
resnet50,VN26_x50,75,7.971938775510203e-05,10
resnet50,VN26_x50,76,0.0001793686224489796,10
resnet50,VN26_x50,77,0.0001992984693877551,10
resnet50,VN26_x50,78,0.00013950892857142856,10
resnet50,VN26_x50,79,9.964923469387755e-05,10
resnet50,VN26_x50,80,0.0001793686224489796,10
resnet50,VN26_x50,81,7.971938775510203e-05,10
resnet50,VN26_x50,82,0.00011957908163265306,11
resnet50,VN26_x50,83,9.964923469387755e-05,11
resnet50,VN26_x50,84,0.00011957908163265306,11
resnet50,VN26_x50,85,0.00011957908163265306,11
resnet50,VN26_x50,86,0.00015943877551020407,11
resnet50,VN26_x50,87,0.0001793686224489796,11
resnet50,VN26_x50,88,0.0001793686224489796,11
resnet50,VN26_x50,89,0.0001793686224489796,11
resnet50,VN26_x50,90,0.00013950892857142856,11
resnet50,VN26_x50,91,0.00015943877551020407,12
resnet50,VN26_x50,92,0.00013950892857142856,12
resnet50,VN26_x50,93,7.971938775510203e-05,12
resnet50,VN26_x50,94,9.964923469387755e-05,12
resnet50,VN26_x50,95,7.971938775510203e-05,12
resnet50,VN26_x50,96,0.00015943877551020407,12
resnet50,VN26_x50,97,0.00013950892857142856,12
resnet50,VN26_x50,98,7.971938775510203e-05,12
resnet50,VN26_x50,99,9.964923469387755e-05,13
efficientnet_b3,VN26_x10,0,0.00011957908163265306,0
efficientnet_b3,VN26_x10,1,7.971938775510203e-05,0
efficientnet_b3,VN26_x10,2,0.00011957908163265306,0
efficientnet_b3,VN26_x10,3,0.0001992984693877551,0
efficientnet_b3,VN26_x10,4,0.0001992984693877551,0
efficientnet_b3,VN26_x10,5,0.00013950892857142856,1
efficientnet_b3,VN26_x10,6,7.971938775510203e-05,1
efficientnet_b3,VN26_x10,7,0.00011957908163265306,1
efficientnet_b3,VN26_x10,8,0.00011957908163265306,1
efficientnet_b3,VN26_x10,9,0.0001992984693877551,1
efficientnet_b3,VN26_x10,10,9.964923469387755e-05,2
efficientnet_b3,VN26_x10,11,0.00015943877551020407,2
efficientnet_b3,VN26_x10,12,9.964923469387755e-05,2
efficientnet_b3,VN26_x10,13,0.00015943877551020407,2
efficientnet_b3,VN26_x10,14,0.00011957908163265306,2
efficientnet_b3,VN26_x10,15,0.00011957908163265306,2
efficientnet_b3,VN26_x10,16,0.00015943877551020407,2
efficientnet_b3,VN26_x10,17,0.00023915816326530612,2
efficientnet_b3,VN26_x10,18,0.0003587372448979592,2
efficientnet_b3,VN26_x10,19,0.00015943877551020407,2
efficientnet_b3,VN26_x10,20,7.971938775510203e-05,2
efficientnet_b3,VN26_x10,21,5.978954081632653e-05,3
efficientnet_b3,VN26_x10,22,5.978954081632653e-05,3
efficientnet_b3,VN26_x10,23,3.985969387755102e-05,3
efficientnet_b3,VN26_x10,24,9.964923469387755e-05,3
efficientnet_b3,VN26_x10,25,0.00011957908163265306,3
efficientnet_b3,VN26_x10,26,7.971938775510203e-05,3
efficientnet_b3,VN26_x10,27,3.985969387755102e-05,3
efficientnet_b3,VN26_x10,28,5.978954081632653e-05,3
efficientnet_b3,VN26_x10,29,3.985969387755102e-05,3
efficientnet_b3,VN26_x10,30,7.971938775510203e-05,4
efficientnet_b3,VN26_x10,31,7.971938775510203e-05,4
efficientnet_b3,VN26_x10,32,9.964923469387755e-05,4
efficientnet_b3,VN26_x10,33,5.978954081632653e-05,4
efficientnet_b3,VN26_x10,34,1.992984693877551e-05,4
efficientnet_b3,VN26_x10,35,3.985969387755102e-05,4
efficientnet_b3,VN26_x10,36,7.971938775510203e-05,4
efficientnet_b3,VN26_x10,37,7.971938775510203e-05,4
efficientnet_b3,VN26_x10,38,1.992984693877551e-05,5
efficientnet_b3,VN26_x10,39,5.978954081632653e-05,5
efficientnet_b3,VN26_x10,40,1.992984693877551e-05,5
efficientnet_b3,VN26_x10,41,9.964923469387755e-05,5
efficientnet_b3,VN26_x10,42,1.992984693877551e-05,5
efficientnet_b3,VN26_x10,43,0.00011957908163265306,5
efficientnet_b3,VN26_x10,44,0.00011957908163265306,6
efficientnet_b3,VN26_x10,45,0.00015943877551020407,6
efficientnet_b3,VN26_x10,46,7.971938775510203e-05,6
efficientnet_b3,VN26_x10,47,0.00015943877551020407,7
efficientnet_b3,VN26_x10,48,0.0001992984693877551,7
efficientnet_b3,VN26_x10,49,0.00015943877551020407,7
efficientnet_b3,VN26_x10,50,0.00011957908163265306,7
efficientnet_b3,VN26_x10,51,0.00013950892857142856,7
efficientnet_b3,VN26_x10,52,0.00013950892857142856,7
efficientnet_b3,VN26_x10,53,0.00013950892857142856,7
efficientnet_b3,VN26_x10,54,5.978954081632653e-05,8
efficientnet_b3,VN26_x10,55,9.964923469387755e-05,8
efficientnet_b3,VN26_x10,56,3.985969387755102e-05,8
efficientnet_b3,VN26_x10,57,0.00011957908163265306,8
efficientnet_b3,VN26_x10,58,5.978954081632653e-05,8
efficientnet_b3,VN26_x10,59,7.971938775510203e-05,8
efficientnet_b3,VN26_x10,60,7.971938775510203e-05,8
efficientnet_b3,VN26_x10,61,7.971938775510203e-05,8
efficientnet_b3,VN26_x10,62,1.992984693877551e-05,8
efficientnet_b3,VN26_x10,63,9.964923469387755e-05,8
efficientnet_b3,VN26_x10,64,0.00025908801020408165,9
efficientnet_b3,VN26_x10,65,0.00011957908163265306,9
efficientnet_b3,VN26_x10,66,0.0001992984693877551,9
efficientnet_b3,VN26_x10,67,0.0001793686224489796,9
efficientnet_b3,VN26_x10,68,0.0003587372448979592,9
efficientnet_b3,VN26_x10,69,0.0002192283163265306,9
efficientnet_b3,VN26_x10,70,9.964923469387755e-05,10
efficientnet_b3,VN26_x10,71,3.985969387755102e-05,10
efficientnet_b3,VN26_x10,72,0.0002192283163265306,10
efficientnet_b3,VN26_x10,73,0.0001793686224489796,10
efficientnet_b3,VN26_x10,74,0.00023915816326530612,10
efficientnet_b3,VN26_x10,75,0.00023915816326530612,10
efficientnet_b3,VN26_x10,76,0.00013950892857142856,10
efficientnet_b3,VN26_x10,77,0.00023915816326530612,10
efficientnet_b3,VN26_x10,78,0.0001793686224489796,10
efficientnet_b3,VN26_x10,79,0.0001793686224489796,10
efficientnet_b3,VN26_x10,80,0.0001793686224489796,10
efficientnet_b3,VN26_x10,81,0.00015943877551020407,10
efficientnet_b3,VN26_x10,82,0.00025908801020408165,11
efficientnet_b3,VN26_x10,83,0.00033880739795918367,11
efficientnet_b3,VN26_x10,84,1.992984693877551e-05,11
efficientnet_b3,VN26_x10,85,3.985969387755102e-05,11
efficientnet_b3,VN26_x10,86,0.00023915816326530612,11
efficientnet_b3,VN26_x10,87,1.992984693877551e-05,11
efficientnet_b3,VN26_x10,88,1.992984693877551e-05,11
efficientnet_b3,VN26_x10,89,1.992984693877551e-05,11
efficientnet_b3,VN26_x10,90,0.00027901785714285713,11
efficientnet_b3,VN26_x10,91,0.00023915816326530612,12
efficientnet_b3,VN26_x10,92,0.00025908801020408165,12
efficientnet_b3,VN26_x10,93,0.0001793686224489796,12
efficientnet_b3,VN26_x10,94,0.0001793686224489796,12
efficientnet_b3,VN26_x10,95,0.0001793686224489796,12
efficientnet_b3,VN26_x10,96,0.00011957908163265306,12
efficientnet_b3,VN26_x10,97,0.00023915816326530612,12
efficientnet_b3,VN26_x10,98,0.00023915816326530612,12
efficientnet_b3,VN26_x10,99,0.0001992984693877551,13
efficientnet_b3,VN26_x20,0,0.00015943877551020407,0
efficientnet_b3,VN26_x20,1,7.971938775510203e-05,0
efficientnet_b3,VN26_x20,2,9.964923469387755e-05,0
efficientnet_b3,VN26_x20,3,0.00013950892857142856,0
efficientnet_b3,VN26_x20,4,0.0001793686224489796,0
efficientnet_b3,VN26_x20,5,0.0001992984693877551,1
efficientnet_b3,VN26_x20,6,0.00023915816326530612,1
efficientnet_b3,VN26_x20,7,7.971938775510203e-05,1
efficientnet_b3,VN26_x20,8,0.00015943877551020407,1
efficientnet_b3,VN26_x20,9,0.00031887755102040814,1
efficientnet_b3,VN26_x20,10,0.0001793686224489796,2
efficientnet_b3,VN26_x20,11,0.00031887755102040814,2
efficientnet_b3,VN26_x20,12,0.00011957908163265306,2
efficientnet_b3,VN26_x20,13,0.00011957908163265306,2
efficientnet_b3,VN26_x20,14,0.00011957908163265306,2
efficientnet_b3,VN26_x20,15,0.00027901785714285713,2
efficientnet_b3,VN26_x20,16,1.992984693877551e-05,2
efficientnet_b3,VN26_x20,17,5.978954081632653e-05,2
efficientnet_b3,VN26_x20,18,3.985969387755102e-05,2
efficientnet_b3,VN26_x20,19,0.0002192283163265306,2
efficientnet_b3,VN26_x20,20,0.0001793686224489796,2
efficientnet_b3,VN26_x20,21,0.00011957908163265306,3
efficientnet_b3,VN26_x20,22,1.992984693877551e-05,3
efficientnet_b3,VN26_x20,23,3.985969387755102e-05,3
efficientnet_b3,VN26_x20,24,3.985969387755102e-05,3
efficientnet_b3,VN26_x20,25,7.971938775510203e-05,3
efficientnet_b3,VN26_x20,26,3.985969387755102e-05,3
efficientnet_b3,VN26_x20,27,9.964923469387755e-05,3
efficientnet_b3,VN26_x20,28,7.971938775510203e-05,3
efficientnet_b3,VN26_x20,29,1.992984693877551e-05,3
efficientnet_b3,VN26_x20,30,3.985969387755102e-05,4
efficientnet_b3,VN26_x20,31,7.971938775510203e-05,4
efficientnet_b3,VN26_x20,32,5.978954081632653e-05,4
efficientnet_b3,VN26_x20,33,3.985969387755102e-05,4
efficientnet_b3,VN26_x20,34,5.978954081632653e-05,4
efficientnet_b3,VN26_x20,35,0.00013950892857142856,4
efficientnet_b3,VN26_x20,36,5.978954081632653e-05,4
efficientnet_b3,VN26_x20,37,7.971938775510203e-05,4
efficientnet_b3,VN26_x20,38,7.971938775510203e-05,5
efficientnet_b3,VN26_x20,39,0.00011957908163265306,5
efficientnet_b3,VN26_x20,40,7.971938775510203e-05,5
efficientnet_b3,VN26_x20,41,0.00011957908163265306,5
efficientnet_b3,VN26_x20,42,0.00013950892857142856,5
efficientnet_b3,VN26_x20,43,5.978954081632653e-05,5
efficientnet_b3,VN26_x20,44,0.00031887755102040814,6
efficientnet_b3,VN26_x20,45,0.00025908801020408165,6
efficientnet_b3,VN26_x20,46,0.00015943877551020407,6
