detector,heldout_family,train_n,test_n,test_failure_rate,threshold_from_train,train_best_f1,test_auc_roc,test_avg_precision,test_precision,test_recall,test_f1,test_fpr,tp,fp,fn,tn
ref_mmd_rbf,jpeg,3976,280,0.3035714285714285,0.0662420392036438,0.919269025639772,0.9106485671191552,0.8103921271655415,0.5448275862068965,0.9294117647058824,0.6869565217391305,0.3384615384615385,79,66,6,129
ref_mmd_rbf,motion_blur,4088,168,0.6607142857142857,0.075576901435852,0.9114460663868418,0.9533744270586376,0.9767096268188078,0.988095238095238,0.7477477477477478,0.8512820512820515,0.0175438596491228,83,1,28,56
ref_mmd_rbf,pixelate,4088,168,0.8869047619047619,0.0786760449409484,0.9056054350740144,0.9406570116566584,0.991823758782414,0.971830985915493,0.9261744966442952,0.9484536082474226,0.2105263157894736,138,4,11,15
ref_mmd_rbf,red_channel_shift,4032,224,0.0223214285714285,0.075576901435852,0.9102390612954248,0.9442922374429225,0.2796296296296296,0.0,0.0,0.0,0.0091324200913242,0,2,5,217
ref_mmd_rbf,resize,4088,168,0.1964285714285714,0.075576901435852,0.9140642803299788,0.8664421997755332,0.5636667119500586,0.6190476190476191,0.3939393939393939,0.4814814814814814,0.0592592592592592,13,8,20,127
ref_mmd_rbf,rotation,4032,224,0.4285714285714285,0.075576901435852,0.9081029997363796,0.973876953125,0.9588646024797148,0.8571428571428571,1.0,0.923076923076923,0.125,96,16,0,112
ref_mmd_rbf,scratch,4088,168,0.4107142857142857,0.075576901435852,0.9223852337640822,0.9559361733274776,0.941422951312101,0.4726027397260274,1.0,0.6418604651162791,0.7777777777777778,69,77,0,22
ref_mmd_rbf,shot_noise,4088,168,0.8214285714285714,0.0798916816711425,0.910977080320396,0.9135265700483092,0.9807294301011223,0.9478260869565216,0.7898550724637681,0.8616600790513834,0.2,109,6,29,24
ref_mmd_rbf,zoom_blur,4088,168,0.8690476190476191,0.075576901435852,0.90649915388529,0.9402241594022416,0.9899734063725542,0.9102564102564102,0.9726027397260274,0.9403973509933774,0.6363636363636364,142,14,4,8
ref_centroid_cosine,blue_channel_shift,4032,224,0.0089285714285714,0.1196929216384887,0.8977678566432781,0.9346846846846848,0.532258064516129,0.3333333333333333,0.5,0.4,0.009009009009009,1,2,1,220
ref_centroid_cosine,compound,4088,168,1.0,0.1196929216384887,0.8891566260065299,,,1.0,0.9940476190476192,0.9970149253731344,0.0,167,0,1,0
ref_centroid_cosine,compound_digital,4088,168,0.8630952380952381,0.1196929216384887,0.8928060976424818,0.9643178410794604,0.9939689430062908,0.971830985915493,0.9517241379310344,0.9616724738675958,0.1739130434782608,138,4,7,19
ref_centroid_cosine,compound_field,4088,168,0.9583333333333334,0.1285010576248169,0.8917011433307912,0.9352262644188112,0.9970521830666076,0.9748427672955976,0.9627329192546584,0.96875,0.5714285714285714,155,4,6,3
ref_centroid_cosine,compound_optical,4088,168,0.8928571428571429,0.1285010576248169,0.8941632351504435,0.9162962962962964,0.9894181105778952,0.94,0.94,0.94,0.5,141,9,9,9
ref_centroid_cosine,contrast,4032,224,0.0,0.1285010576248169,0.8972680058221122,,,0.0,0.0,0.0,0.0,0,0,0,224
ref_centroid_cosine,defocus_blur,3976,280,0.8785714285714286,0.1285010576248169,0.8905813653290816,0.943687230989957,0.9921918321862714,0.9549180327868853,0.9471544715447154,0.9510204081632652,0.3235294117647059,233,11,13,23
ref_centroid_cosine,gaussian_blur,3920,336,0.9196428571428572,0.1196929216384887,0.8847448842454088,0.9739901714011746,0.9976908086400152,0.9650793650793652,0.9838187702265372,0.9743589743589745,0.4074074074074074,304,11,5,16
ref_centroid_cosine,gaussian_noise,4088,168,0.3571428571428571,0.1285010576248169,0.9014345205552744,0.9388888888888888,0.8941499880418244,0.8297872340425532,0.65,0.7289719626168223,0.074074074074074,39,8,21,100
ref_centroid_cosine,green_channel_shift,4032,224,0.0357142857142857,0.1196929216384887,0.9032403235326876,0.917824074074074,0.4927459486780651,0.1515151515151515,0.625,0.2439024390243902,0.1296296296296296,5,28,3,188
ref_centroid_cosine,illumination,4032,224,0.0,0.1285010576248169,0.8972680058221122,,,0.0,0.0,0.0,0.0,0,0,0,224
ref_centroid_cosine,impulse_noise,4088,168,0.5714285714285714,0.1196929216384887,0.9002557539762255,0.9211516203703703,0.9459749631905192,0.8636363636363636,0.7916666666666666,0.8260869565217391,0.1666666666666666,76,12,20,60
ref_centroid_cosine,jpeg,3976,280,0.3035714285714285,0.1196929216384887,0.9091762492068048,0.8692609351432881,0.74752434075138,0.539568345323741,0.8823529411764706,0.6696428571428571,0.3282051282051282,75,64,10,131
