backbone,dataset,k,n_images,sgi_mean,sgi_std,sil_mean,sil_std
efficientnet_b3,WRD25,4,96,0.33748845798707294,0.06168908984352461,0.07828747481107712,0.01951877772808075
efficientnet_b3,WRD25,5,96,0.4164646814404432,0.06851817448800948,0.0714322030544281,0.016827508807182312
efficientnet_b3,WRD25,6,96,0.47822887811634346,0.06571241694398613,0.06598006188869476,0.014699060469865799
efficientnet_b3,WRD25,7,96,0.5260200253924284,0.06664536155367536,0.061969321221113205,0.013837942853569984
efficientnet_b3,WRD25,8,96,0.562781336565097,0.062673435333137,0.05936412885785103,0.012311111204326153
efficientnet_b3,DTSR14,2,89,0.07188210028323322,0.021404465144415245,0.10053164511919022,0.016183286905288696
efficientnet_b3,DTSR14,3,89,0.22148215008248,0.054767720729936506,0.0880012959241867,0.01605306565761566
efficientnet_b3,DTSR14,4,89,0.32559370039528157,0.06032281659505365,0.08095622062683105,0.015395035035908222
efficientnet_b3,DTSR14,5,89,0.397709234647826,0.06639717482420815,0.0727703645825386,0.012224791571497917
efficientnet_b3,DTSR14,6,89,0.4516713872202683,0.06610552716597248,0.06631087511777878,0.010376649908721447
efficientnet_b3,DTSR14,7,89,0.4886628902237854,0.06937960044563177,0.06325705349445343,0.011376800015568733
efficientnet_b3,DTSR14,8,89,0.5206044383578698,0.0722055529875103,0.06034998968243599,0.010751933790743351
efficientnet_b3,PCA11,2,99,0.09486835110103806,0.03115317286127754,0.09741629660129547,0.023148054257035255
efficientnet_b3,PCA11,3,99,0.26148605165225663,0.060336202695692495,0.08076408505439758,0.015878017991781235
efficientnet_b3,PCA11,4,99,0.37735387112118407,0.06214320905283455,0.07252182066440582,0.014301025308668613
efficientnet_b3,PCA11,5,99,0.45644813788858096,0.06549046085889597,0.06679163873195648,0.012308638542890549
efficientnet_b3,PCA11,6,99,0.5162567503287725,0.06429081804314686,0.06165449693799019,0.011515077203512192
efficientnet_b3,PCA11,7,99,0.563753882313439,0.06326017274724471,0.05782867595553398,0.010513687506318092
efficientnet_b3,PCA11,8,99,0.6017445927418228,0.06039523926408135,0.05502961203455925,0.009180148132145405
convnext_tiny,WRD25,2,96,0.022534013605442178,0.010379724163038864,0.3248121440410614,0.25627198815345764
convnext_tiny,WRD25,3,96,0.057397959183673464,0.02969501716026229,0.19593477249145508,0.15135304629802704
convnext_tiny,WRD25,4,96,0.09417517006802718,0.043734172050760536,0.14231924712657928,0.08201998472213745
