dataset,backbone,condition,image_idx,sgi,sgi_c0,sgi_c1,sgi_c2
WRD25,resnet50,clean,101,0.0029496173469387753,0.0008569834183673469,0.00023915816326530612,0.0018534757653061226
WRD25,resnet50,clean,102,0.0024513711734693877,0.0004185267857142857,0.00027901785714285713,0.001753826530612245
WRD25,resnet50,clean,103,0.0024513711734693877,0.0005381058673469387,0.00033880739795918367,0.0015744579081632653
WRD25,resnet50,clean,104,0.0023716517857142855,0.0010363520408163266,0.00023915816326530612,0.001096141581632653
WRD25,resnet50,clean,105,0.003268494897959184,0.0007174744897959184,0.0004185267857142857,0.0021324936224489796
WRD25,resnet50,clean,106,0.004185267857142857,0.0008769132653061224,0.0005779655612244898,0.002730389030612245
WRD25,resnet50,clean,107,0.0029496173469387753,0.0008569834183673469,0.00025908801020408165,0.001833545918367347
WRD25,resnet50,clean,108,0.00412547831632653,0.0010363520408163266,0.0001992984693877551,0.002889827806122449
WRD25,resnet50,clean,109,0.003706951530612245,0.0020527742346938774,0.00011957908163265306,0.0015345982142857143
WRD25,resnet50,clean,110,0.0048828125,0.0014150191326530613,0.00013950892857142856,0.00332828443877551
WRD25,resnet50,clean,111,0.004683514030612245,0.002072704081632653,9.964923469387755e-05,0.0025111607142857145
WRD25,resnet50,clean,112,0.0031489158163265306,0.0015146683673469387,7.971938775510203e-05,0.0015545280612244898
WRD25,resnet50,clean,113,0.002570950255102041,0.0006975446428571429,0.00033880739795918367,0.0015345982142857143
WRD25,resnet50,clean,114,0.0017737563775510204,0.00029894770408163266,0.00015943877551020407,0.0013153698979591836
WRD25,resnet50,clean,115,0.007513552295918368,0.0024513711734693877,0.00027901785714285713,0.0047831632653061226
WRD25,resnet50,clean,116,0.0019331951530612245,3.985969387755102e-05,0.0007971938775510204,0.001096141581632653
WRD25,resnet50,clean,117,0.0011957908163265306,0.00031887755102040814,0.0003786670918367347,0.0004982461734693878
WRD25,resnet50,clean,118,0.002570950255102041,0.00031887755102040814,0.0012157206632653062,0.0010363520408163266
WRD25,resnet50,clean,119,0.002551020408163265,0.00015943877551020407,0.0016143176020408164,0.0007772640306122449
WRD25,resnet50,clean,120,0.009964923469387755,0.004245057397959184,0.0005181760204081633,0.0052016900510204085
WRD25,resnet50,clean,121,0.004603794642857143,0.004404496173469388,3.985969387755102e-05,0.00015943877551020407
WRD25,resnet50,clean,122,0.009546396683673469,0.004404496173469388,0.00015943877551020407,0.0049824617346938774
WRD25,resnet50,clean,123,0.014130261479591837,0.006218112244897959,0.00031887755102040814,0.00759327168367347
WRD25,resnet50,clean,124,0.012994260204081632,0.0059590242346938774,0.00029894770408163266,0.0067362882653061226
WRD25,resnet50,clean,125,0.008071588010204082,0.0047831632653061226,0.00029894770408163266,0.0029894770408163264
WRD25,resnet50,clean,126,0.0018933354591836734,0.0007374043367346938,7.971938775510203e-05,0.0010762117346938774
WRD25,resnet50,clean,127,0.0020926339285714285,0.0014150191326530613,0.0001793686224489796,0.0004982461734693878
WRD25,resnet50,clean,128,0.001992984693877551,0.0007174744897959184,0.00025908801020408165,0.001016422193877551
WRD25,resnet50,clean,129,0.0028698979591836736,0.0007174744897959184,0.0012555803571428572,0.000896843112244898
WRD25,resnet50,clean,130,0.002690529336734694,0.0006975446428571429,0.0006377551020408163,0.0013552295918367347
WRD25,resnet50,clean,131,0.0038066007653061226,0.0020129145408163264,0.0003587372448979592,0.0014349489795918368
WRD25,resnet50,clean,132,0.005520567602040816,0.0022122130102040817,0.0011160714285714285,0.002192283163265306
WRD25,resnet50,clean,133,0.001953125,0.0009765625,0.0001793686224489796,0.0007971938775510204
WRD25,resnet50,clean,134,0.00408561862244898,0.003049266581632653,0.00031887755102040814,0.0007174744897959184
WRD25,resnet50,clean,135,0.006277901785714286,0.0024912308673469387,0.0009167729591836735,0.0028698979591836736
WRD25,resnet50,clean,136,0.005221619897959184,0.003308354591836735,0.0003786670918367347,0.0015345982142857143
WRD25,resnet50,clean,137,0.0030691964285714285,0.0020129145408163264,0.00013950892857142856,0.0009167729591836735
WRD25,resnet50,clean,138,0.005500637755102041,0.0040058992346938774,0.0001992984693877551,0.001295440051020408
WRD25,resnet50,clean,139,0.008569834183673469,0.001953125,0.001096141581632653,0.005520567602040816
WRD25,resnet50,clean,140,0.0028698979591836736,0.00027901785714285713,0.0020527742346938774,0.0005381058673469387
WRD25,resnet50,clean,141,0.0047831632653061226,0.0023716517857142855,7.971938775510203e-05,0.002331792091836735
WRD25,resnet50,clean,142,0.0024912308673469387,0.0009964923469387755,0.00015943877551020407,0.0013352997448979591
WRD25,resnet50,clean,143,0.0034080038265306123,0.0010363520408163266,0.00031887755102040814,0.0020527742346938774
WRD25,resnet50,clean,144,0.0016741071428571428,0.000896843112244898,0.0002192283163265306,0.0005580357142857143
WRD25,resnet50,clean,145,0.0008370535714285714,0.0003786670918367347,0.00013950892857142856,0.00031887755102040814
WRD25,resnet50,clean,146,0.001833545918367347,5.978954081632653e-05,0.0009367028061224489,0.0008370535714285714
WRD25,resnet50,clean,147,0.0007174744897959184,0.00027901785714285713,9.964923469387755e-05,0.00033880739795918367
WRD25,resnet50,clean,148,0.0012356505102040817,0.0008370535714285714,7.971938775510203e-05,0.00031887755102040814
WRD25,resnet50,clean,149,5.978954081632653e-05,1.992984693877551e-05,1.992984693877551e-05,1.992984693877551e-05
WRD25,resnet50,clean,150,0.00029894770408163266,0.00011957908163265306,3.985969387755102e-05,0.00013950892857142856
WRD25,resnet50,clean,151,0.004364636479591837,0.003966039540816327,1.992984693877551e-05,0.0003786670918367347
