dataset,backbone,perturbation,severity,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap,csi_c0,csi_c1,csi_c2
PCA11,resnet50,gaussian_blur,4,62,0.28353949648675364,0.28353949648675364,0.28353949648675364,0.0,0.11171808054841474,0.2011967934966693,0.5377036154151767
PCA11,resnet50,gaussian_blur,4,63,0.25304341183808654,0.25304341183808654,0.4131343602031148,0.16009094836502824,0.5143176169722292,0.01835985312117503,0.22645276542085538
PCA11,resnet50,gaussian_blur,4,64,0.3192898066994729,0.3192898066994729,0.5527145725603694,0.2334247658608965,0.742346322438132,0.013354204373135059,0.20216889328715157
PCA11,resnet50,gaussian_blur,4,65,0.2769106022060677,0.2769106022060677,0.3285152031720358,0.051604600965968084,0.42543707973102785,0.007493034114014609,0.39780169277316074
PCA11,resnet50,gaussian_blur,4,66,0.28422199504806517,0.28422199504806517,0.5316636082014704,0.24744161315340524,0.6215362673186634,0.03620393478754092,0.19492578303799124
PCA11,resnet50,gaussian_blur,4,67,0.13328284517349873,0.13328284517349873,0.31107363527671006,0.17779079010321133,0.19221084987410483,0.11328475632293152,0.09435292932345977
PCA11,resnet50,gaussian_blur,4,68,0.31128185144891357,0.31128185144891357,0.31128185144891357,0.0,0.4426052431832779,0.2286116417010154,0.26262866946244756
PCA11,resnet50,gaussian_blur,4,69,0.09450791997478457,0.09450791997478457,0.43366533468722807,0.3391574147124435,0.26265677680377614,0.004806476094105743,0.016060507026471823
PCA11,resnet50,gaussian_blur,4,70,0.2411265758242229,0.2411265758242229,0.4169027199798141,0.1757761441555912,0.5913163579700393,0.02229975182534259,0.10976361767728675
PCA11,resnet50,gaussian_blur,4,71,0.42078778993282834,0.42078778993282834,0.42078778993282834,0.0,0.5822015474882536,0.5313025602691086,0.1488592620411229
PCA11,resnet50,gaussian_blur,4,72,0.3848358942612657,0.3848358942612657,0.3848358942612657,0.0,0.49410703547805174,0.17061767417358092,0.4897829731321644
PCA11,resnet50,gaussian_blur,4,73,0.6149673426083627,0.6149673426083627,0.6149673426083627,0.0,0.7495621265196786,0.69236471460341,0.4029751867019995
PCA11,resnet50,gaussian_blur,4,74,0.3760540278403562,0.3760540278403562,0.40377811359456367,0.027724085754207484,0.4436657430906424,0.11667299658184581,0.5678233438485805
PCA11,resnet50,gaussian_blur,4,75,0.4836249703280086,0.4836249703280086,0.4836249703280086,0.0,0.6121575958012797,0.1818342776203966,0.6568830375623494
PCA11,resnet50,gaussian_blur,4,76,0.3601168228001678,0.3601168228001678,0.36550732008489123,0.005390497284723406,0.5256484149855908,0.4011412462773092,0.15356080713760353
PCA11,resnet50,gaussian_blur,4,77,0.2264630620571196,0.2264630620571196,0.23460524605691116,0.008142183999791552,0.3252697930761361,0.23835709019415088,0.11576230290107177
PCA11,resnet50,gaussian_blur,4,78,0.15361907962554602,0.15361907962554602,0.20746671516675116,0.05384763554120514,0.3157942136665541,0.0,0.14506302521008405
PCA11,resnet50,gaussian_blur,4,79,0.47767344506736914,0.47767344506736914,0.47767344506736914,0.0,0.4706040702056638,0.6332845111680703,0.3291317538283733
PCA11,resnet50,gaussian_blur,4,80,0.24105573996926136,0.24105573996926136,0.2631292974142679,0.022073557445006525,0.5473596968979398,0.07000951368291454,0.10579800932692977
PCA11,resnet50,gaussian_blur,4,81,0.3330925481788097,0.3330925481788097,0.3330925481788097,0.0,0.48376976361320784,0.01262433052792655,0.5028835503952946
PCA11,resnet50,gaussian_blur,4,82,0.5205418412112802,0.5205418412112802,0.5205418412112802,0.0,0.6762883067967814,0.26126126126126126,0.6240759555757979
PCA11,resnet50,gaussian_blur,4,83,0.4427946813234307,0.4427946813234307,0.4427946813234307,0.0,0.569666471620831,0.6083385975994946,0.15037897474996637
PCA11,resnet50,gaussian_blur,4,84,0.47037205781139163,0.47037205781139163,0.47037205781139163,0.0,0.4148957298907647,0.549788672865596,0.44643177067781425
PCA11,resnet50,gaussian_blur,4,85,0.16921681222631102,0.16921681222631102,0.2310522591797788,0.06183544695346779,0.24962936816096012,0.08972286374133949,0.1682982047766334
PCA11,resnet50,gaussian_blur,4,86,0.244801252240864,0.244801252240864,0.2675039530987162,0.022702700857852226,0.361390804027578,0.35592540605574496,0.017087546639268914
PCA11,resnet50,gaussian_blur,4,87,0.3151182326840301,0.3151182326840301,0.3151182326840301,0.0,0.2637880986937591,0.20329632908806103,0.47827027027027025
PCA11,resnet50,gaussian_blur,4,88,0.2799185896099495,0.2799185896099495,0.35407038107427463,0.07415179146432516,0.36470588235294116,0.20920132116199838,0.26584856531490886
PCA11,resnet50,gaussian_blur,4,89,0.3463465006245239,0.3463465006245239,0.3463465006245239,0.0,0.2585128561501042,0.46957191008253935,0.3109547356409281
PCA11,resnet50,gaussian_blur,4,90,0.33053369348719697,0.33053369348719697,0.33053369348719697,0.0,0.31950207468879666,0.3024247867085766,0.3696742190642177
PCA11,resnet50,gaussian_blur,4,91,0.15461417646337874,0.15461417646337874,0.41789291799289097,0.26327874152951225,0.1636536631779258,0.04783042656020172,0.2523584396520087
PCA11,resnet50,gaussian_blur,4,92,0.1593710057459937,0.1593710057459937,0.3534415414214336,0.1940705356754399,0.19414440022740193,0.02920292563130639,0.2547656913792728
PCA11,resnet50,gaussian_blur,4,93,0.25928441823319875,0.25928441823319875,0.4288600469620795,0.16957562872888077,0.4349933891582195,0.10306017554495374,0.23979968999642304
PCA11,resnet50,gaussian_blur,4,94,0.42166027608748946,0.42166027608748946,0.42166027608748946,0.0,0.6494087567913072,0.5202843033184105,0.0952877681527507
PCA11,resnet50,gaussian_blur,4,95,0.3454486878385688,0.3454486878385688,0.3454486878385688,0.0,0.3889730384731899,0.285603000577034,0.3617700244654824
PCA11,resnet50,gaussian_blur,4,96,0.35347901929618314,0.35347901929618314,0.35347901929618314,0.0,0.2325,0.27157237070461643,0.556364687183933
PCA11,resnet50,gaussian_blur,4,97,0.3192045737320881,0.3192045737320881,0.5653448038881561,0.246140230156068,0.7471204188481675,0.17389539211042696,0.03659791023766986
PCA11,resnet50,gaussian_blur,4,98,0.32893148845337755,0.32893148845337755,0.32893148845337755,0.0,0.3020914020139427,0.39716256260981303,0.28754050073637705
PCA11,resnet50,gaussian_blur,4,99,0.24411080289202391,0.24411080289202391,0.36359624782417105,0.11948544493214713,0.4020483193277311,0.26585621163819767,0.06442787771014294
