dataset,backbone,condition,image_idx,silhouette
PCA11,efficientnet_b3,clean,78,-0.004906626883894205
PCA11,efficientnet_b3,clean,79,-0.005050718318670988
PCA11,efficientnet_b3,clean,80,0.0041250064969062805
PCA11,efficientnet_b3,clean,81,-0.00474149314686656
PCA11,efficientnet_b3,clean,82,0.0009627267136238515
PCA11,efficientnet_b3,clean,83,-0.006307388190180063
PCA11,efficientnet_b3,clean,84,-0.0029344104696065187
PCA11,efficientnet_b3,clean,85,-0.006135252770036459
PCA11,efficientnet_b3,clean,86,-0.003195594297721982
PCA11,efficientnet_b3,clean,87,0.04078811779618263
PCA11,efficientnet_b3,clean,88,0.0016057702014222741
PCA11,efficientnet_b3,clean,89,0.0034986173268407583
PCA11,efficientnet_b3,clean,90,-0.0015651262365281582
PCA11,efficientnet_b3,clean,91,-0.006350870244204998
PCA11,efficientnet_b3,clean,92,0.0053307064808905125
PCA11,efficientnet_b3,clean,93,-0.028597209602594376
PCA11,efficientnet_b3,clean,94,-0.0031952676363289356
PCA11,efficientnet_b3,clean,95,-0.0035556394141167402
PCA11,efficientnet_b3,clean,96,-0.00964636355638504
PCA11,efficientnet_b3,clean,97,-0.00670846551656723
PCA11,efficientnet_b3,clean,98,0.0005129333585500717
PCA11,efficientnet_b3,clean,99,0.016833221539855003
PCA11,efficientnet_b3,clean,100,-0.013020736165344715
PCA11,efficientnet_b3,clean,101,-0.005386635195463896
PCA11,efficientnet_b3,clean,102,-0.004409063141793013
PCA11,efficientnet_b3,clean,103,0.006814320106059313
PCA11,efficientnet_b3,clean,104,0.0034602151717990637
PCA11,efficientnet_b3,clean,105,0.005396289750933647
PCA11,efficientnet_b3,clean,106,0.00928458385169506
PCA11,efficientnet_b3,clean,107,-0.011657999828457832
PCA11,efficientnet_b3,clean,108,-0.005338140297681093
PCA11,efficientnet_b3,clean,109,0.01182541623711586
PCA11,efficientnet_b3,clean,110,0.008279018104076385
PCA11,efficientnet_b3,clean,111,-0.01047379057854414
PCA11,efficientnet_b3,clean,112,0.023991253226995468
PCA11,efficientnet_b3,clean,113,-0.003769292961806059
PCA11,efficientnet_b3,clean,114,0.010065491311252117
PCA11,efficientnet_b3,clean,115,0.030075939372181892
PCA11,efficientnet_b3,clean,116,-0.008718207478523254
PCA11,efficientnet_b3,clean,117,0.02350226230919361
PCA11,efficientnet_b3,clean,118,0.02578614093363285
PCA11,efficientnet_b3,clean,119,-0.005607851780951023
PCA11,efficientnet_b3,clean,120,0.008878837339580059
PCA11,efficientnet_b3,clean,121,-0.012524653226137161
PCA11,efficientnet_b3,clean,122,-0.019034050405025482
PCA11,efficientnet_b3,clean,123,0.01546939555555582
PCA11,efficientnet_b3,clean,124,0.021800003945827484
PCA11,efficientnet_b3,clean,125,-0.004080460872501135
PCA11,efficientnet_b3,clean,126,0.019295964390039444
PCA11,efficientnet_b3,clean,127,-0.010336754843592644
PCA11,efficientnet_b3,clean,128,0.0033217035233974457
PCA11,efficientnet_b3,clean,129,-0.009976150467991829
PCA11,efficientnet_b3,clean,130,0.004091939888894558
PCA11,efficientnet_b3,clean,131,0.009780514054000378
PCA11,efficientnet_b3,clean,132,-0.0019782306626439095
PCA11,efficientnet_b3,clean,133,-0.007401634007692337
PCA11,efficientnet_b3,clean,134,-0.03483251854777336
PCA11,efficientnet_b3,clean,135,-0.028085781261324883
PCA11,efficientnet_b3,clean,136,-0.008915777318179607
PCA11,efficientnet_b3,clean,137,-0.0018021450378000736
PCA11,efficientnet_b3,clean,138,-0.011770614422857761
PCA11,efficientnet_b3,clean,139,-0.0020683840848505497
PCA11,efficientnet_b3,clean,140,-0.0008725715451873839
PCA11,efficientnet_b3,clean,141,-0.01866162195801735
PCA11,efficientnet_b3,clean,142,-0.018911201506853104
PCA11,efficientnet_b3,clean,143,-0.017312373965978622
PCA11,efficientnet_b3,clean,144,0.0056187850423157215
PCA11,efficientnet_b3,clean,145,-0.00843944400548935
PCA11,efficientnet_b3,clean,146,-0.017143893986940384
PCA11,efficientnet_b3,clean,147,-0.007722757291048765
PCA11,efficientnet_b3,clean,148,-0.004701097495853901
PCA11,efficientnet_b3,clean,149,-0.039809513837099075
PCA11,efficientnet_b3,clean,150,0.008313438855111599
PCA11,efficientnet_b3,clean,151,-0.010538897477090359
PCA11,efficientnet_b3,clean,152,-0.013146661221981049
PCA11,efficientnet_b3,clean,153,0.0077088261023163795
PCA11,efficientnet_b3,clean,154,-0.0001386728254146874
PCA11,efficientnet_b3,clean,155,-0.03466584533452988
PCA11,efficientnet_b3,clean,156,-0.00799929816275835
PCA11,efficientnet_b3,clean,157,0.013427259400486946
PCA11,efficientnet_b3,clean,158,-0.003752589225769043
PCA11,efficientnet_b3,clean,159,-0.013463134877383709
PCA11,efficientnet_b3,clean,160,-0.008494650945067406
PCA11,efficientnet_b3,clean,161,-0.0170061644166708
PCA11,efficientnet_b3,clean,162,0.004530560690909624
PCA11,efficientnet_b3,clean,163,-0.023418886587023735
PCA11,efficientnet_b3,clean,164,-0.0047541349194943905
PCA11,efficientnet_b3,clean,165,-0.022174052894115448
PCA11,efficientnet_b3,clean,166,0.0011085482547059655
PCA11,efficientnet_b3,clean,167,-0.0005258119199424982
PCA11,efficientnet_b3,clean,168,0.004977954085916281
PCA11,efficientnet_b3,clean,169,0.005770269315689802
PCA11,efficientnet_b3,clean,170,0.012632820755243301
PCA11,efficientnet_b3,clean,171,-0.016134493052959442
PCA11,efficientnet_b3,clean,172,-0.0021423751022666693
PCA11,efficientnet_b3,clean,173,0.002264950657263398
PCA11,efficientnet_b3,clean,174,0.0024210477713495493
PCA11,efficientnet_b3,clean,175,0.004382184240967035
PCA11,efficientnet_b3,clean,176,0.02854379080235958
PCA11,efficientnet_b3,clean,177,-0.013111635111272335
PCA11,efficientnet_b3,clean,178,0.027610961347818375
PCA11,efficientnet_b3,clean,179,-0.008126986213028431
PCA11,efficientnet_b3,clean,180,-0.02606664039194584
PCA11,efficientnet_b3,clean,181,0.07103762030601501
PCA11,efficientnet_b3,clean,182,-0.005984888877719641
PCA11,efficientnet_b3,clean,183,-0.023681338876485825
PCA11,efficientnet_b3,clean,184,-0.00811829324811697
PCA11,efficientnet_b3,clean,185,-0.0009839795529842377
PCA11,efficientnet_b3,clean,186,-0.001932481536641717
PCA11,efficientnet_b3,clean,187,0.01334468461573124
