dataset,backbone,condition,image_idx,silhouette
DTSR14,efficientnet_b3,clean,66,-0.01165516022592783
DTSR14,efficientnet_b3,clean,67,0.00044633151264861226
DTSR14,efficientnet_b3,clean,68,0.005143497604876757
DTSR14,efficientnet_b3,clean,69,0.01990901120007038
DTSR14,efficientnet_b3,clean,70,0.0020586804021149874
DTSR14,efficientnet_b3,clean,71,0.016738690435886383
DTSR14,efficientnet_b3,clean,72,0.020085051655769348
DTSR14,efficientnet_b3,clean,73,-0.020435230806469917
DTSR14,efficientnet_b3,clean,74,0.015847379341721535
DTSR14,efficientnet_b3,clean,75,0.006759882438927889
DTSR14,efficientnet_b3,clean,76,0.007432271260768175
DTSR14,efficientnet_b3,clean,77,0.015735991299152374
DTSR14,efficientnet_b3,clean,78,0.004886894021183252
DTSR14,efficientnet_b3,clean,79,0.006414382718503475
DTSR14,efficientnet_b3,clean,80,0.011233302764594555
DTSR14,efficientnet_b3,clean,81,0.017508788034319878
DTSR14,efficientnet_b3,clean,82,0.008358449675142765
DTSR14,efficientnet_b3,clean,83,0.0037867610808461905
DTSR14,efficientnet_b3,clean,84,0.02725747600197792
DTSR14,efficientnet_b3,clean,85,0.0025305156596004963
DTSR14,efficientnet_b3,clean,86,-0.015311348251998425
DTSR14,efficientnet_b3,clean,87,0.001374302664771676
DTSR14,efficientnet_b3,clean,88,0.01103451382368803
DTSR14,efficientnet_b3,clean,89,-0.005138886161148548
DTSR14,efficientnet_b3,clean,90,-0.0033646817319095135
DTSR14,efficientnet_b3,clean,91,0.0012930630473420024
DTSR14,efficientnet_b3,clean,92,0.012523052282631397
DTSR14,efficientnet_b3,clean,93,0.006597672589123249
DTSR14,efficientnet_b3,clean,94,-0.0037008963990956545
DTSR14,efficientnet_b3,clean,95,0.007349536754190922
DTSR14,efficientnet_b3,clean,96,0.0018933298997581005
DTSR14,efficientnet_b3,clean,97,-0.007229174952954054
DTSR14,efficientnet_b3,clean,98,0.020173631608486176
DTSR14,efficientnet_b3,clean,99,-0.02054252102971077
DTSR14,efficientnet_b3,clean,100,0.0003734918136615306
DTSR14,efficientnet_b3,clean,101,0.001125920214690268
DTSR14,efficientnet_b3,clean,102,0.022981226444244385
DTSR14,efficientnet_b3,clean,103,0.00040944659849628806
DTSR14,efficientnet_b3,clean,104,-0.017673511058092117
DTSR14,efficientnet_b3,clean,105,0.005247979890555143
DTSR14,efficientnet_b3,clean,106,-0.00874512828886509
DTSR14,efficientnet_b3,clean,107,0.013822479173541069
DTSR14,efficientnet_b3,clean,108,0.02135460078716278
DTSR14,efficientnet_b3,clean,109,0.005992240272462368
DTSR14,efficientnet_b3,clean,110,0.0011937441304326057
DTSR14,efficientnet_b3,clean,111,0.024699734523892403
DTSR14,efficientnet_b3,clean,112,-0.008558857254683971
DTSR14,efficientnet_b3,clean,113,-0.01909797638654709
DTSR14,efficientnet_b3,clean,114,-0.001685184659436345
DTSR14,efficientnet_b3,clean,115,-0.0002446267462801188
DTSR14,efficientnet_b3,clean,116,-0.0023631558287888765
DTSR14,efficientnet_b3,clean,117,0.014420473016798496
DTSR14,efficientnet_b3,clean,118,0.007834783755242825
DTSR14,efficientnet_b3,clean,119,0.007021166384220123
DTSR14,efficientnet_b3,clean,120,0.004616317339241505
DTSR14,efficientnet_b3,clean,121,0.010585024021565914
DTSR14,efficientnet_b3,clean,122,0.00770554831251502
DTSR14,efficientnet_b3,clean,123,0.005263923201709986
DTSR14,efficientnet_b3,clean,124,-0.0031323775183409452
DTSR14,efficientnet_b3,clean,125,-0.005833928007632494
DTSR14,efficientnet_b3,clean,126,-0.008859725669026375
DTSR14,efficientnet_b3,clean,127,-0.004439612850546837
DTSR14,efficientnet_b3,clean,128,-0.0012936259154230356
DTSR14,efficientnet_b3,clean,129,-0.0025640293024480343
DTSR14,efficientnet_b3,clean,130,-0.00866402592509985
DTSR14,efficientnet_b3,clean,131,0.004748133011162281
DTSR14,efficientnet_b3,clean,132,-0.003119204891845584
DTSR14,efficientnet_b3,clean,133,-0.009821138344705105
DTSR14,efficientnet_b3,clean,134,-0.004895716439932585
DTSR14,efficientnet_b3,clean,135,-0.01059455331414938
DTSR14,efficientnet_b3,clean,136,0.0004425285442266613
DTSR14,efficientnet_b3,clean,137,-0.004324145149439573
DTSR14,efficientnet_b3,clean,138,0.0010627926094457507
DTSR14,efficientnet_b3,clean,139,0.0061824386939406395
DTSR14,efficientnet_b3,clean,140,-0.006827760487794876
DTSR14,efficientnet_b3,clean,141,-0.0009372732019983232
DTSR14,efficientnet_b3,clean,142,-0.0029965878929942846
DTSR14,efficientnet_b3,clean,143,0.0032876464538276196
DTSR14,efficientnet_b3,clean,144,-0.011346232146024704
DTSR14,efficientnet_b3,clean,145,-0.004358519800007343
DTSR14,efficientnet_b3,clean,146,-0.00026598264230415225
DTSR14,efficientnet_b3,clean,147,0.0006969706155359745
DTSR14,efficientnet_b3,clean,148,-0.0006455259281210601
DTSR14,efficientnet_b3,clean,149,-0.0035889267455786467
DTSR14,efficientnet_b3,clean,150,0.005655680783092976
DTSR14,efficientnet_b3,clean,151,-0.0061880857683718204
DTSR14,efficientnet_b3,clean,152,-0.00011200881272088736
DTSR14,efficientnet_b3,clean,153,-0.0011334028095006943
DTSR14,efficientnet_b3,clean,154,-0.011450541205704212
DTSR14,efficientnet_b3,clean,155,-3.631648360169493e-05
DTSR14,efficientnet_b3,clean,156,0.0012897864216938615
DTSR14,efficientnet_b3,clean,157,0.004956728778779507
DTSR14,efficientnet_b3,clean,158,0.020089607685804367
DTSR14,efficientnet_b3,clean,159,0.0030778180807828903
DTSR14,efficientnet_b3,clean,160,-0.004317715764045715
DTSR14,efficientnet_b3,clean,161,-0.005022276658564806
DTSR14,efficientnet_b3,clean,162,-0.00014000487863086164
DTSR14,efficientnet_b3,clean,163,-0.00044583447743207216
DTSR14,efficientnet_b3,clean,164,0.0007257518591359258
DTSR14,efficientnet_b3,clean,165,0.01222521997988224
DTSR14,efficientnet_b3,clean,166,0.0004899743944406509
DTSR14,efficientnet_b3,clean,167,-0.0019170191371813416
DTSR14,efficientnet_b3,clean,168,0.0003366490127518773
DTSR14,efficientnet_b3,clean,169,0.02427593246102333
DTSR14,efficientnet_b3,clean,170,0.008772764354944229
DTSR14,efficientnet_b3,clean,171,0.00034363550366833806
DTSR14,efficientnet_b3,clean,172,0.0030580651946365833
DTSR14,efficientnet_b3,clean,173,0.01157950796186924
DTSR14,efficientnet_b3,clean,174,-0.003374478779733181
DTSR14,efficientnet_b3,clean,175,0.011309264227747917
DTSR14,efficientnet_b3,clean,176,0.0053555890917778015
DTSR14,efficientnet_b3,clean,177,-0.01653328537940979
DTSR14,efficientnet_b3,clean,178,0.011285430751740932
DTSR14,efficientnet_b3,clean,179,-0.007495542988181114
DTSR14,efficientnet_b3,clean,180,-0.003927897661924362
DTSR14,efficientnet_b3,clean,181,-0.003590002888813615
DTSR14,efficientnet_b3,clean,182,-0.011230825446546078
DTSR14,efficientnet_b3,clean,183,-0.005114490166306496
DTSR14,efficientnet_b3,clean,184,-0.01591155305504799
DTSR14,efficientnet_b3,clean,185,0.009953283704817295
DTSR14,efficientnet_b3,clean,186,-0.000973326328676194
